Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out4[255:0]
66,66,0,3e00daff1000defff2ffc0ffdcffdcffd63dbca2e804e6b918c9ba0870a57034
67,67,0,0c000c0010000000d0ff0400dcff40003acebaf886a6c8333ca3905ad0c3d05c
68,68,0,eaff3e00ceff3000d0ff4600ecff40005ca2165936c2785d76fc683a50346004
69,69,0,daff3e0010003000f2ff36004000fcff4af8363e3833d805405a98caf05c20a6
70,70,0,2e00eaff4000eeff6800d0ff4000ccff16599acd985d86a6d83b8ea3e00430c3
71,71,0,4e001c003000beff2600d0ff2000ecff963e3ca2a80626c2a8cae6fb00a60034
72,72,0,eaffeaff000010009eff5800dcff50003ace5af866a628332ca3705ac0c3405d
73,73,0,b8ff1c00ceff4000d0ff4600ccfffcff6ca21659c6c2985d36fcd83a7034d004
74,74,0,faff2e0010003000f2fff2ff5000bcffeaf8763ea832e805305a58c9305d00a6
75,75,0,1c00faff2000deff3600aeff3000ccfff658cacd885db6a6d83a1ca3a00470c3
76,76,0,2e00daff2000ceff0400d0ffdcffecff763d9ca20806c6c218ca56fd00a66034
77,77,0,0c001c00deffeeffd0fff2ffccfffcfffacc5af976a638334ca3805a20c4e05c
78,78,0,daff2e0000002000c0ff4600dcfffcff8ca2265996c2285d96fc283a70344004
79,79,0,faff2e00eeff3000460004006000ccff0af9363e5833c805705ae8c9e05cd0a5
80,80,0,0c00eaff400000004600c0ff3000bcffe658cacd785da6a6483b6ca3c004c0c3
81,81,0,1c00b8ff500000004600c0ffccffccfff63d4ca2a80506c298c926fc10a69034
82,82,0,1c000c00eeffeeffe2ffe2ffdcff50004acdcaf876a6d8324ca3a05ac0c3f05c
83,83,0,daff0c00ceff4000d0ff5800dcff60008ca2e65896c2785d56fc383be034e004
84,84,0,daff2e00400060003600e2ff5000ccffdaf8a63e58336806305af8c9505de0a5
85,85,0,faffeaff2000eeff5800c0ffecffccfff6583acea85d96a6583b2ca3d004a0c3
86,86,0,1c00c8ff1000deff0400d0ffdcffccffa63e4ca2680616c2f8ca76fdf0a56034
87,87,0,fafffaff10001000c0ff0400ccff40001acdfaf856a638334ca3605ae0c3f05c
88,88,0,faff3e00eeff5000f2ff5800ccff40003ca2f65836c2a85d56fc383af0342004
89,89,0,eaff3e0010002000f2ff3600400030004af9c63de8334805805aa8c9e05c20a6
90,90,0,0c002e00300010005800d0fffcffbcff0659facc885d86a6683baea37004c0c3
91,91,0,4e00c8ff3000defff2ffaefffcfffcff363fcca26812c6c218ca26fdd0a53034
92,92,0,0c00daff10001000aeff4600bcff6000cace1af726ac48283ca3805ab0c3305d
