Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out4[255:0]
61,61,0,1e009cff0c00deff0a000a00ecff0c009e23a6ad34ea22d8b8b84011f8a1c843
62,62,0,0000d2ff0c001c00ecff0a00bcff4c00f6b3201aaea10a4a36b2645e38e00850
63,63,0,f0ff0000eeff3a00ecff0a000c001c0026b88a5eb4e8da4ac821461b684fe8e1
64,64,0,0e003c003a00eefffcffdcff3c00bcff7e2ae0129c53e2d9c45da4ae7845c8a1
65,65,0,3c00f0ff3a00ceff0a00ccff2c00ccff1a5c68aa8a3efea2de098abec8d048f2
66,66,0,0000f0fffefffefffcffbeffdcffecffe000c6c430cab4fa40a79032d8a49857
67,67,0,9cfff0ffeefffeffbefffcfffcff3c0068a40c3adea77c5af2cbb259f803a837
68,68,0,d2ff0e00eeff1c00fcffdcff1c00ccffe4d37a56c60c6830064086f7c85cb8c2
69,69,0,e0ff00003a002c007800dcff1c00bcffbc46b2ee4c5e30bcd0524ea2382838ab
70,70,0,2c0000002c00ceff1a00beffecffecffac4d58a1481f0eb0aee6f8db58b69815
71,71,0,0000aafffefffeffbeffecffccff0c0024de42e44eb1881d5ea12c4ca8b4885e
72,72,0,7cff0e00b0ff2c00dcff0a00fcff2c0028a28c51c0ba9c5ee0ec2a4818269817
73,73,0,8cff3c000c002c00ecffdcff2c00ccffa2f51c42782eb60d805526d5f85c98ac
74,74,0,00000e003a00deff2a00beff1c00dcffca5804ce1c5bbea8143caea3b805b8c0
75,75,0,2c00e0ffeeff0c00ecff0a00dcffecfffe3338a6e4fc60c8eec668ffb8a5d835
76,76,0,d2ff0000eeff1c00beff2a00ecff0c00d6bf60083ea3ba3c32a9c45bb8cf4858
77,77,0,e0ff4c00eeff4a00dcff2a000c001c0046ad5a5db2d70c5550103e2c3843b8f3
78,78,0,00000e000c003a00fcfffcff2c00ecffe0182e249a4924eb745e08b91850f8a1
79,79,0,0e00f0ff1c00feff1a00dcff2c00ecffaa5e56b45a4baea1961cd6b108e3e8df
80,80,0,2c008cff2c000c00ecff0a00ccff0c00401336b752da54e874af482298a1684e
81,81,0,f0ff0000deff1c00dcff2a00dcff3c0088aa9e29cea21c538abde45d98f0f845
82,82,0,d2ff2c000c003a00fcff2a00ccff0c0096c35a5c24f9ca3e30310e0a085718d2
83,83,0,0e000e001c002c003a00beff1c00bcffce3800024c5ae0ca645a80a7283898a4
84,84,0,5a009cff5a00defffcffdcffecffecffba5688a478318ea766f970cbb8c3c802
85,85,0,0e009cff1c00deffecff1a00acff2c0032f0d4d2f0bcc60b6ea2b63f08ab785c
86,86,0,e0fff0ff1c000c00ccff0a00dcff3c0068a11c463eaf5c5ea8da105308144829
87,87,0,e0ff2c002c000c001a000a001c00ecff64e33c4e381db8207c4b1ee7a85ee8b6
88,88,0,2c00e0ff3a00eeff6800beff3c00ecff1c5154de7c5e2eb1dc485ca14818a8b4
89,89,0,2c008cff3a00deff0a00ccff1c00ecff7c4228a2f60e90ba86d670ecc8acb825
90,90,0,0e00aaff0c000c00ccff1a00ccff2c0054cf42f5aea9582d5ea35055a8c0185d
91,91,0,9cff0e000c002c00fcff0a001c001c0028a66a5860c75c5b68fdd43b28353807
92,92,0,f0ff3c00feff2c002a00dcff2c00dcff00074e356a3c54fd345b1ec7985808a6
93,93,0,2c0000001c00ceff2a009eff2c00bcff3a5d56c08c555ea3ce2d10a9d8f448ce
94,94,0,0e00f0ff1c00eeffecff0a00dcffecffae25a6ac24ecc2d668ba601018a25842
95,95,0,e0ff00000c001c00aeff1a00dcffecff26b580189ea1fa4834b1665e88deb850
96,96,0,9cff3c00deff2c00ecfffcff2c000c00a6b6ba5e62e67a4b981f261d084eb8e3
97,97,0,f0ff4c004a001c007800dcff0c00ccffce28c014dc52c2da045ed4af3846b8a1
98,98,0,1e00aaff1c001c000a00beff1c00bcffaa5ce6aa2a40cea2de0b5abda8d288f0
99,99,0,2c00e0ff1c00eeffccffecffdcff0c00400346c3b0cbc4f810a8603088a49856
100,100,0,d2ff0e00eeff3a00beff1a00fcff3c00d8a41e38dea60c5a20ca345ae8014839
101,101,0,9cff1e000c003a000a002a003c00fcfff4d12a57460a4832c63eb6f9585ca8c4
102,102,0,00000e001c00eeff1a00ccfffcffecff0c45a2f17c5d70bde053fea2382a98aa
103,103,0,2c00e0ff4a00eefffcffecffecffecffcc4ec8a1e821eeae5ee908daf8b7b812
104,104,0,0000d2ff1c00eeffccff1a00acff2c0004e084e24eb2a81b5ca1cc4bd8b3985e
105,105,0,e0ff0e00ceff2c00aeff3a00fcff0c0008a27c50d0b98c5e30eb4c4978245819
106,106,0,00002c00feff3a000a001a000c00fcffb2f39c43282c26106054f6d7985db8ad
107,107,0,1e00f0ff4a000c002a00ccff0c00ecff1a5844d0dc5b9ea9863d3ea3480818c0
108,108,0,5a009cff2c00eeffecffbeffdcff2c001e3638a5b4fe80c6f0c808fc58a6f833
109,109,0,00009cffeeff0c00ccff1a00acff6c0066c14005dea34a3b50a8c25ac8cc7859
110,110,0,e0ff0000eeff4a00beff6800ecff2c00a6ac3a5d22d60c56000eee2d0842e8f5
111,111,0,f0ff2c004a00eeff1a00fcff0c00dcff10172e261a4884ec545e9aba985158a2
112,112,0,1e0000005a00ceff1a00befffcffbcff8a5e36b5ba4cbea1a81e24b168e4b8dd
113,113,0,3c00d2ff1c00b0ffdcffecffdcffecffa01586b572dca2e574b0b81f88a1084d
114,114,0,e0ff0000deff3a00beff1a00ccfffcffd6ab9e275ea23c52babb245e78ee6847
115,115,0,f0ff0e00eeff3a00fcff0a00dcffecffb6c29a5c74f7aa406e2fbe0c4856f8d3
116,116,0,f0ffe0fffeffeeff0a00ccff2c00dcff9e3630048c5960ccf25a70a8183a58a4
117,117,0,4c009cff2c00ceff0a00beffecfffcffaa57f8a48832bea656fa80c9f8c42800
118,118,0,1e00d2ffdeff1c00ccffccffccff2c00a2f2b4d080bec6091ea3963e38aa085c
119,119,0,e0fff0ffeeff0c00ccfffcffdcff1c00f8a1cc441eae7c5da6d800545812782b
120,120,0,8cff3c00feff4a00fcfffcff0c00ecff04e1cc4fb81a8822da49bee8885ec8b8
121,121,0,0e000e005a00eeff2a00beff1c00bcffac4f24e1bc5e0eb37c4a5ea1781af8b2
122,122,0,2c00f0ffeeffdeff0a00ccffecff1c004c44d8a12612b0b8e8d8cee9c8adb823
123,123,0,0e00e0ffeeffdeffdcfffcffdcff2c00a4d162f24eaaf82aeea2605408bec85d
124,124,0,f0ff0e00deff2c00fcff2a002c000c0008a5aa5720c5bc5b96fad63d8832f808
125,125,0,e0ff0e002c000c003a000a001c00dcff40041e375a3ac600825a50c9b859c8a6
