Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc3_a1_1[15:0],u3_adc_analysis/adc3_a2_1[15:0],u3_adc_analysis/adc3_a3_1[15:0],u3_adc_analysis/adc3_a4_1[15:0],u3_adc_analysis/adc3_a1_2[15:0],u3_adc_analysis/adc3_a2_2[15:0],u3_adc_analysis/adc3_a3_2[15:0],u3_adc_analysis/adc3_a4_2[15:0],u3_adc_analysis/adc4_a1_1[15:0],u3_adc_analysis/adc4_a2_1[15:0],u3_adc_analysis/adc4_a3_1[15:0],u3_adc_analysis/adc4_a4_1[15:0],u3_adc_analysis/adc4_a1_2[15:0],u3_adc_analysis/adc4_a2_2[15:0],u3_adc_analysis/adc4_a3_2[15:0],u3_adc_analysis/adc4_a4_2[15:0],u3_adc_analysis/time_4s_1
3056,3056,0,-1386,4788,1682,-4688,-2000,4560,2282,-4382,8,6,-28,-40,-8,22,6,-4,4952,1884,-4848,-2250,4656,2448,-4520,-2780,56,4,-60,-6,8,36,-10,-6,0
3057,3057,0,-2590,4276,2802,-4054,-3126,3822,3360,-3642,8,-10,-12,10,8,6,6,56,4368,3048,-4160,-3312,3994,3562,-3776,-3808,40,36,-10,-6,-40,-42,24,-6,0
3058,3058,0,-3598,3416,3808,-3152,-4020,2888,4244,-2644,-8,6,6,26,-8,-10,6,-24,3500,4106,-3290,-4258,3012,4488,-2736,-4646,40,-24,-10,-22,8,4,-10,-22,0
3059,3059,0,-4386,2344,4602,-2058,-4658,1818,4842,-1518,-24,6,-12,10,8,6,-12,10,2526,4834,-2184,-4944,1870,5070,-1564,-5158,8,4,8,-6,-24,-42,8,28,0
3060,3060,0,-4906,1188,5018,-876,-5054,560,5106,-270,-8,6,-12,-20,8,22,6,26,1264,5288,-888,-5290,554,5354,-304,-5330,72,-8,24,12,8,-24,-26,-6,0
3061,3061,0,-5118,-60,5138,408,-5118,-688,5106,1056,-24,22,6,26,-8,6,-12,-4,-44,5354,428,-5306,-714,5288,1012,-5192,24,-42,-26,-6,40,4,8,28,0
3062,3062,0,-5038,-1332,4954,1648,-4826,-1928,4730,2262,8,22,6,-4,8,-10,-12,-20,-1314,5102,1626,-5044,-1994,4890,2240,-4694,-8,20,-44,-6,40,-24,-10,12,0
3063,3063,0,-4546,-2492,4458,2774,-4258,-3018,4084,3274,-24,-10,6,-24,-8,6,6,10,-2568,4554,2832,-4384,-3120,4204,3352,-3962,40,4,-26,-6,24,-24,-44,-6,0
3064,3064,0,-3828,-3534,3664,3768,-3390,-3902,3144,4160,8,-10,22,-24,-8,22,-28,-40,-3608,3644,3808,-3460,-4062,3180,4212,-2928,8,-14,-26,-6,40,-42,-26,-22,0
3065,3065,0,-2902,-4318,2642,4478,-2350,-4598,2074,4768,24,-10,-28,40,-24,22,6,-4,-4398,2612,4554,-2348,-4732,2000,4858,-1764,8,4,-26,-38,24,4,-10,-6,0
