Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc3_a1_1[15:0],u3_adc_analysis/adc3_a2_1[15:0],u3_adc_analysis/adc3_a3_1[15:0],u3_adc_analysis/adc3_a4_1[15:0],u3_adc_analysis/adc3_a1_2[15:0],u3_adc_analysis/adc3_a2_2[15:0],u3_adc_analysis/adc3_a3_2[15:0],u3_adc_analysis/adc3_a4_2[15:0],u3_adc_analysis/adc4_a1_1[15:0],u3_adc_analysis/adc4_a2_1[15:0],u3_adc_analysis/adc4_a3_1[15:0],u3_adc_analysis/adc4_a4_1[15:0],u3_adc_analysis/adc4_a1_2[15:0],u3_adc_analysis/adc4_a2_2[15:0],u3_adc_analysis/adc4_a3_2[15:0],u3_adc_analysis/adc4_a4_2[15:0],u3_adc_analysis/time_4s_1
0,0,0,4698,2186,-4598,-2514,4426,2698,-4278,-3010,8,-24,6,10,-24,40,-12,10,2382,-4664,-2616,4460,2996,-4260,-3162,4072,-8,20,-10,12,-8,-14,8,12,0
1,1,0,4068,3290,-3874,-3510,3670,3728,-3404,-3928,8,-40,6,-24,-24,8,6,10,3436,-3860,-3680,3640,3930,-3394,-4096,3124,56,4,-10,28,-56,-14,8,12,0
2,2,0,3198,4144,-2882,-4334,2602,4464,-2392,-4640,24,8,22,10,8,8,6,10,4288,-2876,-4468,2540,4640,-2240,-4816,1866,-24,4,-10,28,-8,20,8,-6,0
3,3,0,2088,4724,-1760,-4822,1450,4914,-1170,-4980,-8,-8,-12,10,24,-24,6,10,4864,-1694,-5024,1320,5064,-1012,-5136,638,-56,20,-26,28,8,4,-10,-6,0
4,4,0,852,5060,-510,-5076,174,5060,124,-5044,8,-8,-28,-4,8,-8,22,10,5208,-316,-5232,-22,5176,362,-5184,-708,-24,20,-10,-6,-24,-14,-26,-6,0
5,5,0,-432,5060,722,-4996,-1082,4882,1402,-4800,8,24,6,10,8,8,-12,26,5128,998,-5072,-1350,5032,1644,-4928,-1962,8,20,8,12,-40,4,8,-6,0
6,6,0,-1722,4654,1994,-4556,-2302,4386,2562,-4208,-8,8,6,-4,24,8,6,-4,4720,2250,-4664,-2632,4496,2816,-4292,-3108,-40,70,-44,-6,-56,4,-26,-6,0
7,7,0,-2838,4066,3096,-3848,-3374,3648,3600,-3384,-24,-8,38,26,8,8,6,10,4122,3366,-3904,-3640,3644,3892,-3466,-4144,-56,-14,24,-6,-8,-14,-44,28,0
8,8,0,-3844,3160,4036,-2914,-4226,2636,4442,-2370,8,8,-12,-40,24,-8,-28,-4,3204,4336,-2942,-4548,2638,4734,-2392,-4846,-40,20,-10,-6,-40,4,42,-6,0
9,9,0,-4546,2072,4650,-1772,-4826,1524,4874,-1196,8,-8,-28,10,8,-8,6,-24,2046,4988,-1810,-5092,1408,5222,-1136,-5256,8,20,-10,12,24,4,8,12,0
10,10,0,-5002,884,5058,-540,-5134,244,5106,106,-8,-8,-28,10,24,-8,6,-4,808,5320,-464,-5364,154,5354,148,-5306,-40,4,8,28,-40,-24,-10,-6,0
11,11,0,-5118,-360,5106,714,-5086,-1032,5024,1342,-8,8,-12,-24,-24,-24,6,-4,-522,5288,812,-5224,-1138,5190,1450,-5076,-56,4,-10,-6,-24,-42,-10,-22,0
12,12,0,-4922,-1638,4842,1960,-4722,-2180,4618,2500,-24,-8,-12,-4,24,-8,-12,10,-1812,4972,2048,-4814,-2408,4686,2638,-4530,-40,20,-10,-22,24,-24,-26,-22,0
13,13,0,-4450,-2712,4244,3068,-4068,-3258,3840,3562,8,24,22,26,8,24,6,10,-2960,4320,3160,-4110,-3480,3836,3664,-3608,-72,-14,-44,-6,8,4,-44,-22,0
14,14,0,-3630,-3724,3440,3970,-3158,-4128,2936,4318,-24,-8,-12,-4,-24,-24,-28,10,-3928,3348,4118,-3092,-4318,2784,4468,-2530,-40,-14,24,-6,-8,4,-26,-22,0
15,15,0,-2638,-4446,2368,4608,-2080,-4724,1778,4862,24,8,6,10,8,8,22,10,-4620,2180,4762,-1962,-4892,1612,4970,-1318,24,4,8,-22,-8,-14,-10,-6,0
16,16,0,-1482,-4902,1162,4982,-858,-5062,514,5078,-8,8,6,26,-24,8,6,-20,-5076,912,5142,-676,-5172,298,5206,28,-24,-24,24,12,-40,36,-10,-38,0
17,17,0,-224,-5094,-102,5062,436,-5062,-742,4982,8,8,6,10,-8,8,-28,40,-5188,-348,5190,688,-5108,-1096,5078,1336,-40,36,-10,12,-24,4,-44,12,0
18,18,0,1092,-4936,-1370,4816,1706,-4660,-1984,4546,8,-8,22,-4,-8,-24,-12,10,-4996,-1694,4858,1974,-4796,-2306,4618,2606,-8,-14,-26,12,-40,20,8,28,0
19,19,0,2302,-4382,-2554,4270,2826,-4082,-3094,3864,8,8,6,10,-8,8,6,-4,-4460,-2930,4308,3198,-4126,-3444,3888,3640,-40,4,-10,-6,-24,-24,-60,12,0
20,20,0,3358,-3676,-3596,3402,3814,-3196,-4002,2908,-24,-24,38,40,-8,-40,6,-4,-3640,-3926,3432,4138,-3168,-4374,2960,4524,8,4,-10,12,-24,-24,-10,-6,0
21,21,0,4196,-2680,-4406,2372,4538,-2102,-4726,1832,-8,-8,6,-4,-8,-24,-12,10,-2680,-4682,2344,4856,-2058,-4944,1770,5086,-24,20,-26,12,-56,-14,8,28,0
22,22,0,4794,-1528,-4950,1166,4978,-968,-5064,540,-24,24,6,-4,8,8,6,10,-1464,-5204,1140,5242,-810,-5336,540,5292,40,4,-26,12,-24,-24,-26,-6,0
23,23,0,5106,-234,-5168,-100,5138,356,-5128,-686,8,-8,-12,10,8,8,-12,26,-124,-5352,-122,5324,474,-5302,-808,5258,-40,20,-26,-22,-40,4,-26,12,0
24,24,0,5058,946,-5048,-1356,4962,1612,-4886,-1932,-8,-8,6,-4,8,24,6,-4,1168,-5170,-1438,5086,1790,-4912,-2082,4824,-56,4,8,-6,-56,4,8,-6,0
25,25,0,4714,2202,-4598,-2514,4410,2730,-4342,-3058,8,-8,-28,-4,-8,-24,22,-4,2398,-4632,-2664,4508,2932,-4276,-3210,4088,-40,20,8,-22,-72,4,8,-22,0
26,26,0,4068,3258,-3826,-3510,3654,3728,-3388,-3912,24,-8,22,-40,8,8,-12,10,3452,-3878,-3696,3658,3914,-3378,-4096,3108,-40,20,24,-6,-40,4,8,12,0
27,27,0,3182,4144,-2918,-4334,2634,4464,-2360,-4588,40,-8,-12,10,8,8,6,-4,4336,-2842,-4536,2572,4640,-2240,-4760,1914,-56,-42,-26,12,-40,4,8,-6,0
28,28,0,2056,4724,-1792,-4868,1482,4950,-1170,-4996,-24,-8,-12,-4,-8,-24,-12,10,4864,-1676,-4992,1320,5080,-1030,-5152,622,-24,4,-10,-6,-8,4,8,12,0
29,29,0,820,5060,-494,-5060,206,5076,92,-5044,8,-24,-12,-4,-8,-8,6,10,5208,-382,-5232,-22,5208,330,-5184,-676,-24,20,-10,12,-24,-42,-10,12,0
30,30,0,-432,5044,738,-4980,-1098,4898,1386,-4758,8,8,22,10,8,8,6,-24,5176,1010,-5088,-1334,5000,1644,-4944,-1978,-56,20,8,-22,-8,20,-26,12,0
31,31,0,-1722,4654,1978,-4542,-2302,4386,2578,-4240,8,-24,-12,10,40,8,-12,10,4736,2250,-4664,-2596,4496,2850,-4308,-3124,-40,-24,-10,-6,-56,4,-26,-22,0
32,32,0,-2854,4034,3048,-3896,-3358,3648,3560,-3430,-8,-24,22,-4,-24,-8,6,10,4122,3398,-3904,-3662,3644,3942,-3450,-4126,-40,-24,-26,-22,8,36,-26,12,0
33,33,0,-3812,3144,4036,-2914,-4226,2636,4404,-2386,-8,-24,6,10,8,8,-12,-4,3204,4336,-2910,-4514,2638,4702,-2360,-4862,-8,-14,8,28,-56,-14,-10,-6,0
34,34,0,-4546,2088,4714,-1804,-4826,1508,4922,-1196,-8,-8,-12,10,-8,-24,-12,-40,2078,4972,-1810,-5092,1408,5206,-1136,-5240,-24,20,-26,28,24,4,-26,28,0
35,35,0,-5018,884,5058,-556,-5086,244,5122,106,-8,-8,-12,10,24,24,6,-4,776,5320,-480,-5306,154,5370,132,-5322,-24,4,-26,28,-40,20,-44,-6,0
36,36,0,-5150,-360,5090,714,-5086,-1032,5018,1358,-24,8,-12,26,-8,8,6,-24,-522,5288,828,-5240,-1138,5152,1450,-5092,-8,20,8,-6,-56,4,-10,28,0
37,37,0,-4922,-1622,4874,1944,-4722,-2180,4618,2484,8,24,22,10,-8,-24,-12,-4,-1768,4972,2048,-4846,-2408,4702,2606,-4466,-24,-24,42,12,-72,20,-10,-38,0
38,38,0,-4418,-2728,4276,3036,-4052,-3242,3872,3562,-8,8,-12,10,-8,8,6,-4,-2944,4368,3224,-4110,-3464,3908,3648,-3624,-24,-24,-26,44,-40,4,8,12,0
39,39,0,-3646,-3724,3424,3970,-3174,-4128,2898,4302,-8,-8,-12,10,-8,8,6,-4,-3912,3296,4118,-3108,-4286,2816,4484,-2562,-56,4,-10,12,8,4,-10,-6,0
40,40,0,-2654,-4446,2400,4608,-2064,-4724,1778,4846,-8,8,-28,-4,-8,-8,-12,-4,-4668,2198,4794,-1962,-4908,1594,4954,-1318,-72,20,-10,12,-24,4,-26,-22,0
41,41,0,-1450,-4952,1194,5014,-842,-5046,498,5046,-8,-8,-12,-24,-8,-8,22,10,-5108,896,5110,-642,-5188,280,5222,-22,8,36,24,12,-40,20,24,-6,0
42,42,0,-176,-5094,-134,5078,452,-5030,-726,4998,24,-40,6,-4,-8,8,-12,26,-5188,-424,5206,672,-5156,-1112,5094,1352,8,-14,24,12,-40,-42,-26,-6,0
43,43,0,1108,-4870,-1402,4816,1706,-4692,-2000,4576,-8,-8,-12,10,-24,8,6,10,-4996,-1694,4874,1988,-4796,-2306,4618,2572,8,4,-10,28,24,-24,-26,-6,0
44,44,0,2308,-4414,-2570,4256,2858,-4066,-3094,3880,8,-8,-12,26,-8,-8,-12,10,-4460,-2892,4292,3182,-4110,-3460,3904,3658,-8,4,-10,-6,-24,-24,-26,-6,0
45,45,0,3374,-3660,-3596,3436,3814,-3132,-3970,2892,24,-8,-28,10,8,-8,-12,26,-3704,-3910,3416,4148,-3216,-4310,2960,4476,-24,-42,-26,-6,-8,4,-26,-6,0
46,46,0,4212,-2618,-4406,2372,4522,-2118,-4662,1800,-8,24,-12,-4,-24,8,6,10,-2696,-4682,2384,4856,-2106,-4966,1786,5086,8,-24,24,12,-40,4,8,12,0
47,47,0,4778,-1544,-4950,1166,4994,-920,-5048,570,-8,-8,6,-54,8,24,-12,-24,-1432,-5236,1140,5226,-810,-5302,524,5358,8,4,-10,28,-8,-24,24,-6,0
48,48,0,5074,-266,-5168,-52,5106,324,-5144,-734,8,-8,-12,-40,-8,-8,-12,26,-188,-5352,-208,5324,458,-5286,-792,5242,-40,-42,-10,12,-8,20,8,-6,0
49,49,0,5074,994,-5014,-1340,4930,1644,-4870,-1964,24,-8,6,-24,24,-24,38,-4,1168,-5130,-1438,5054,1806,-4928,-2098,4840,-56,20,-10,-6,24,4,-26,-22,0
50,50,0,4714,2186,-4582,-2514,4426,2698,-4278,-3058,-8,-8,-12,-24,8,-8,-12,26,2398,-4664,-2632,4476,2948,-4292,-3146,4056,-8,20,8,-22,-40,-24,-10,12,0
51,51,0,4068,3242,-3874,-3546,3606,3712,-3436,-3976,8,8,-28,-24,-24,-8,-28,26,3436,-3860,-3696,3640,3898,-3362,-4080,3166,-40,-24,-44,-38,-24,-24,8,-22,0
52,52,0,3182,4128,-2918,-4302,2618,4480,-2360,-4588,8,8,-12,10,8,-8,-12,-4,4320,-2826,-4468,2556,4624,-2256,-4776,1898,40,4,8,-6,24,4,-10,-6,0
53,53,0,2120,4756,-1760,-4836,1466,4882,-1170,-5012,24,-8,-12,10,24,8,-12,-4,4904,-1660,-5008,1304,5128,-1030,-5152,656,-8,4,-10,12,-8,-14,8,-6,0
54,54,0,852,5060,-526,-5076,238,5108,76,-5044,8,-8,6,10,8,8,-12,-24,5208,-316,-5216,-38,5240,330,-5184,-676,-56,20,58,12,8,-42,24,12,0
55,55,0,-432,5028,754,-4980,-1082,4882,1354,-4822,24,-24,-12,-40,-8,-8,22,26,5192,928,-5088,-1384,5000,1628,-4912,-1994,24,-24,-26,12,-8,-24,24,-6,0
56,56,0,-1674,4686,2010,-4526,-2286,4434,2562,-4240,8,-8,-12,26,24,-40,-28,10,4752,2250,-4648,-2578,4480,2900,-4308,-3092,-8,20,8,-22,-40,-42,-26,-6,0
57,57,0,-2870,4066,3048,-3880,-3374,3680,3584,-3414,-8,-24,6,-40,-24,8,-12,-24,4106,3382,-3904,-3678,3692,3974,-3498,-4160,8,20,-10,-6,8,-42,8,-6,0
58,58,0,-3774,3176,4020,-2930,-4210,2636,4404,-2386,8,8,6,10,8,-8,-12,10,3204,4320,-2942,-4548,2670,4718,-2392,-4880,-8,20,-10,-6,-24,36,8,12,0
59,59,0,-4530,2056,4682,-1772,-4810,1508,4906,-1212,8,-8,6,10,8,8,6,10,2062,4972,-1794,-5076,1408,5168,-1120,-5256,-24,-14,-10,28,-40,20,-26,12,0
60,60,0,-4974,852,5040,-540,-5102,276,5122,90,-8,24,-28,-40,24,24,-12,26,840,5354,-480,-5346,154,5354,164,-5306,-8,4,-26,-6,56,4,8,-6,0
61,61,0,-5150,-360,5106,698,-5070,-1016,5018,1326,8,-8,-12,10,8,24,-28,26,-490,5320,812,-5256,-1122,5168,1434,-5076,-40,-14,-10,-22,-8,-14,8,28,0
62,62,0,-4938,-1592,4826,1912,-4706,-2212,4602,2468,40,24,-12,-24,-8,-8,22,10,-1736,4938,2032,-4814,-2376,4670,2622,-4514,-8,4,-10,12,8,20,-10,12,0
63,63,0,-4418,-2728,4276,3084,-4084,-3242,3888,3500,-24,24,-44,10,8,-8,-12,10,-2944,4336,3160,-4110,-3400,3924,3712,-3640,-8,20,-10,-6,-24,-14,-26,-6,0
64,64,0,-3646,-3708,3424,3922,-3174,-4144,2888,4334,8,-8,-12,26,8,8,-28,-40,-3912,3366,4118,-3108,-4270,2800,4484,-2596,-56,36,-10,-22,40,-42,-26,12,0
65,65,0,-2622,-4430,2400,4640,-2080,-4724,1778,4846,-24,-8,6,-4,8,-8,6,10,-4636,2164,4762,-1994,-4892,1612,5002,-1318,-24,36,-26,-6,-8,4,-10,12,0
66,66,0,-1498,-4984,1226,5030,-890,-5046,546,5046,40,-8,-12,10,40,-24,6,-20,-5092,912,5142,-642,-5172,298,5206,44,-8,20,8,-6,-24,4,8,12,0
67,67,0,-192,-5094,-102,5094,436,-5046,-742,4982,40,-8,-12,-4,-8,8,-28,-4,-5188,-348,5190,656,-5156,-1078,5078,1320,-8,-14,-10,-6,8,20,8,44,0
68,68,0,1076,-4918,-1402,4784,1722,-4708,-1968,4592,-8,-8,22,-4,24,-8,6,-40,-4972,-1694,4906,1948,-4764,-2290,4602,2572,8,-30,24,-22,-40,-24,8,-6,0
69,69,0,2308,-4398,-2570,4240,2858,-4098,-3094,3880,-8,-8,38,26,24,-40,-12,10,-4476,-2912,4308,3198,-4078,-3444,3904,3640,40,-14,-10,12,-40,4,-10,28,0
70,70,0,3358,-3628,-3564,3452,3798,-3196,-3986,2940,8,-8,-12,10,8,-8,6,10,-3688,-3894,3464,4138,-3200,-4326,2976,4524,24,-42,-26,12,-72,20,-10,12,0
71,71,0,4196,-2650,-4374,2356,4538,-2086,-4694,1832,-8,-40,-12,-4,8,-8,22,10,-2664,-4682,2352,4808,-2090,-4944,1754,5070,-72,4,-10,-6,-40,20,24,-6,0
72,72,0,4810,-1528,-4950,1198,4994,-920,-5088,602,8,-24,22,-4,-8,8,6,-24,-1464,-5220,1108,5226,-826,-5336,540,5292,40,36,8,12,40,-14,24,-6,0
73,73,0,5090,-266,-5168,-52,5122,386,-5112,-686,8,8,22,26,8,-8,6,-4,-188,-5368,-176,5324,474,-5336,-792,5242,8,-14,8,-6,24,36,-10,-6,0
74,74,0,5106,1010,-5014,-1340,4978,1612,-4870,-1932,-8,-8,6,10,-24,-24,22,-4,1096,-5130,-1438,5020,1774,-4944,-2082,4792,24,-14,-26,-6,8,4,8,-6,0
75,75,0,4682,2186,-4598,-2466,4458,2714,-4310,-3026,8,-8,-12,-4,24,8,22,10,2366,-4682,-2632,4508,2916,-4292,-3178,4088,-24,-24,24,12,40,20,-10,12,0
76,76,0,4116,3258,-3858,-3494,3654,3758,-3420,-3912,-24,8,-12,-4,-8,-8,-12,10,3452,-3910,-3712,3640,3946,-3426,-4096,3108,8,4,24,12,-24,4,24,-22,0
77,77,0,3166,4144,-2898,-4334,2634,4464,-2344,-4572,-8,-8,-12,10,8,-24,22,-4,4304,-2842,-4504,2556,4640,-2240,-4800,1866,8,4,-10,12,56,-14,-26,-22,0
78,78,0,2088,4686,-1808,-4868,1466,4898,-1194,-5012,8,-8,6,10,8,8,6,40,4864,-1644,-5008,1336,5096,-996,-5136,622,24,20,8,12,24,20,8,44,0
79,79,0,852,5028,-526,-5044,206,5092,124,-5060,40,-24,38,-4,-24,-24,6,-4,5224,-316,-5216,-6,5224,314,-5184,-708,-24,20,-10,-6,-8,4,-10,12,0
80,80,0,-400,5028,738,-4948,-1098,4882,1370,-4768,-24,8,6,10,-8,-8,-44,10,5160,1010,-5104,-1350,5032,1644,-4912,-1978,-24,20,8,-38,8,20,-10,-6,0
81,81,0,-1674,4740,1962,-4542,-2302,4402,2578,-4224,8,8,-12,10,24,8,6,26,4752,2284,-4648,-2578,4480,2832,-4308,-3124,56,20,-10,-6,8,-24,24,28,0
82,82,0,-2806,4082,3080,-3880,-3374,3696,3536,-3414,8,8,22,26,8,-8,-12,-20,4122,3414,-3904,-3640,3724,3942,-3466,-4110,72,20,-44,28,56,4,-26,-6,0
83,83,0,-3828,3176,4052,-2898,-4194,2652,4388,-2370,-8,8,-12,-20,8,-8,6,-4,3220,4368,-2894,-4498,2654,4718,-2376,-4862,8,36,24,12,24,20,-10,12,0
84,84,0,-4514,2072,4698,-1804,-4778,1492,4922,-1212,-24,-8,6,10,-8,-40,-28,-40,2062,5004,-1778,-5076,1456,5168,-1128,-5290,8,36,-44,-22,-24,4,-10,-6,0
85,85,0,-4970,914,5074,-556,-5118,276,5122,42,-8,-8,6,10,8,8,-12,26,824,5272,-512,-5322,186,5386,164,-5322,40,4,-26,12,-40,4,-26,-6,0
86,86,0,-5150,-330,5090,714,-5086,-1000,5018,1326,24,24,6,-40,24,-8,22,-4,-506,5288,860,-5224,-1090,5222,1450,-5092,-24,4,8,-6,40,36,24,-6,0
87,87,0,-4938,-1622,4842,1960,-4722,-2196,4618,2468,24,8,-12,10,8,8,6,10,-1752,4972,2032,-4814,-2376,4670,2622,-4482,8,4,8,-6,24,4,8,-6,0
88,88,0,-4450,-2728,4276,3052,-4084,-3274,3888,3546,-8,8,6,-8,8,-8,6,-40,-2928,4304,3160,-4094,-3464,3908,3648,-3694,8,-24,-26,-38,-8,-42,-26,12,0
89,89,0,-3678,-3692,3440,3954,-3174,-4128,2920,4334,-8,-8,22,26,-24,-8,-12,-4,-3912,3348,4134,-3124,-4302,2816,4452,-2562,-8,4,8,-6,40,20,-26,-6,0
90,90,0,-2638,-4446,2352,4640,-2096,-4724,1778,4846,8,24,6,26,-8,8,-28,26,-4668,2218,4746,-1944,-4908,1644,4970,-1350,-8,4,-60,-22,8,20,-26,-6,0
91,91,0,-1482,-4952,1194,4982,-890,-5046,530,5078,8,8,-28,10,40,8,-28,10,-5060,928,5142,-692,-5172,298,5206,28,-24,20,24,-6,-24,4,24,28,0
92,92,0,-192,-5094,-102,5046,468,-5030,-726,4982,8,-8,-12,-4,24,8,-12,10,-5204,-316,5174,638,-5140,-1078,5110,1368,-8,20,24,28,-24,4,8,28,0
93,93,0,1044,-4952,-1386,4784,1706,-4676,-1984,4592,24,8,22,-4,24,8,-28,10,-5028,-1710,4874,1948,-4780,-2274,4602,2572,-24,4,24,-6,8,-14,-26,-22,0
94,94,0,2292,-4398,-2538,4256,2810,-4066,-3110,3864,8,8,-12,-20,-24,24,-44,10,-4476,-2860,4340,3182,-4158,-3444,3920,3658,8,-14,8,-6,24,-58,-26,-6,0
95,95,0,3358,-3660,-3532,3436,3830,-3196,-4018,2924,-8,-8,-12,10,-8,8,22,-40,-3656,-3926,3464,4104,-3168,-4326,2960,4492,-24,-14,8,12,56,70,8,-38,0
96,96,0,4196,-2666,-4390,2372,4538,-2148,-4694,1774,8,8,-12,10,-8,-24,22,10,-2680,-4698,2360,4874,-2058,-4944,1754,5070,56,4,-10,12,8,-58,24,-22,0
97,97,0,4794,-1544,-4918,1182,5026,-904,-5080,570,-8,8,-12,10,-8,-8,-12,-4,-1496,-5146,1156,5258,-794,-5270,524,5308,8,20,-10,-22,-40,4,8,-6,0
98,98,0,5106,-282,-5112,-52,5154,340,-5128,-702,-24,-8,-12,-20,24,-8,22,10,-140,-5368,-138,5308,474,-5352,-824,5276,-24,4,8,-6,-24,4,24,12,0
99,99,0,5074,978,-5014,-1308,4946,1612,-4870,-1916,8,8,-12,10,8,8,-12,10,1128,-5204,-1376,5054,1758,-4962,-2066,4856,40,4,8,28,24,20,-26,-6,0
100,100,0,4714,2186,-4630,-2466,4426,2714,-4278,-3010,24,-8,6,10,-8,24,22,-4,2350,-4682,-2632,4492,2932,-4326,-3194,4120,8,4,-26,-22,8,4,8,-6,0
101,101,0,4084,3242,-3826,-3478,3670,3744,-3420,-3944,24,-24,-12,10,8,-8,6,10,3420,-3910,-3680,3674,3946,-3394,-4096,3198,24,20,8,-6,40,4,-10,-6,0
102,102,0,3198,4098,-2898,-4318,2634,4450,-2392,-4588,-8,8,-12,-20,24,8,6,-24,4336,-2860,-4436,2556,4624,-2256,-4800,1974,-72,-14,-10,-22,40,4,8,12,0
103,103,0,2104,4724,-1776,-4852,1498,4934,-1186,-4996,8,-8,-12,26,8,-8,-12,10,4920,-1644,-4960,1304,5112,-1030,-5152,638,24,20,24,12,-24,4,8,12,0
104,104,0,836,5028,-526,-5092,222,5060,92,-5028,-8,-24,6,-4,40,-24,-12,-4,5208,-316,-5216,-38,5192,298,-5184,-676,-56,4,-10,12,-72,4,8,28,0
105,105,0,-432,5044,754,-4932,-1082,4898,1386,-4768,8,8,-28,-4,-8,-8,-28,-4,5144,994,-5120,-1350,5032,1628,-4928,-1962,-56,-14,-10,-6,8,4,8,-6,0
106,106,0,-1690,4724,2010,-4542,-2334,4402,2546,-4256,-8,-24,-12,-4,8,-24,6,26,4736,2250,-4616,-2582,4512,2816,-4308,-3092,-8,4,24,-6,-40,4,8,-6,0
107,107,0,-2886,4112,3064,-3864,-3358,3632,3568,-3384,24,24,6,-4,-8,8,-28,10,4138,3398,-3936,-3658,3676,3942,-3482,-4144,-24,20,-44,28,-24,4,8,12,0
108,108,0,-3790,3160,4036,-2930,-4258,2652,4372,-2386,-8,-8,-28,26,-8,-8,6,10,3204,4336,-2926,-4530,2692,4734,-2376,-4846,-8,20,8,12,-40,-14,8,-6,0
109,109,0,-4530,2088,4698,-1788,-4770,1508,4890,-1228,-8,8,6,-24,-8,24,-12,26,2046,5004,-1794,-5076,1456,5186,-1152,-5256,56,-14,-10,12,40,4,-10,12,0
110,110,0,-5002,884,5040,-524,-5102,292,5106,58,8,-8,-12,10,-8,-24,6,26,824,5354,-512,-5306,170,5370,116,-5330,-40,54,24,12,-40,-14,24,12,0
111,111,0,-5150,-346,5122,682,-5086,-1048,5002,1326,8,-8,6,-4,-8,24,22,10,-522,5338,828,-5224,-1106,5168,1388,-5076,-56,-14,-26,28,-72,-14,-10,12,0
112,112,0,-4922,-1592,4858,1912,-4722,-2180,4618,2452,8,-24,-12,-4,24,8,-12,26,-1752,4954,2016,-4830,-2376,4652,2606,-4514,8,20,24,28,-56,-14,-26,-6,0
113,113,0,-4418,-2728,4276,3052,-4020,-3258,3840,3532,8,8,6,-8,-8,8,6,10,-2944,4320,3176,-4126,-3448,3942,3632,-3640,-40,-14,24,-38,8,-24,24,-6,0
114,114,0,-3646,-3708,3440,3970,-3174,-4144,2904,4270,-8,-8,-12,-20,8,8,-12,-20,-3848,3382,4102,-3108,-4318,2816,4452,-2562,-8,20,8,-6,-8,-24,-26,28,0
115,115,0,-2638,-4430,2384,4640,-2096,-4724,1762,4830,8,-8,6,-4,24,8,6,-24,-4668,2218,4730,-1978,-4892,1578,5002,-1318,-40,20,-26,12,-8,-42,-26,28,0
116,116,0,-1530,-4984,1210,4982,-874,-5030,546,5094,-8,24,-12,10,8,-24,-12,-4,-5092,944,5174,-676,-5188,298,5206,-6,24,20,8,12,40,-42,-10,-38,0
117,117,0,-240,-5094,-70,5094,420,-5062,-758,5014,24,-24,-12,-4,-24,8,-44,10,-5204,-424,5158,672,-5156,-1012,5078,1304,8,4,24,-6,24,-42,8,12,0
118,118,0,1060,-4850,-1370,4816,1674,-4708,-1984,4608,-8,-24,-12,-4,8,8,6,10,-4956,-1676,4874,1972,-4812,-2274,4634,2572,24,-14,24,12,-8,-42,8,12,0
119,119,0,2302,-4430,-2570,4256,2810,-4082,-3110,3864,8,-40,6,-4,8,-8,6,-20,-4508,-2876,4324,3198,-4110,-3410,3888,3658,8,-14,8,-6,8,4,-26,-6,0
120,120,0,3374,-3612,-3564,3420,3798,-3148,-3970,2956,-8,-24,-28,10,-8,-24,-12,26,-3704,-3910,3464,4104,-3168,-4326,2976,4524,24,4,8,-6,-8,-24,-10,28,0
121,121,0,4212,-2650,-4374,2372,4538,-2102,-4630,1816,40,-8,-12,10,24,8,-12,10,-2648,-4648,2320,4808,-2122,-4928,1786,5070,-40,-42,-10,-6,8,-24,-10,-6,0
122,122,0,4794,-1528,-4934,1182,4994,-936,-5048,602,8,-24,-12,10,-8,-24,-28,10,-1448,-5204,1124,5242,-858,-5336,540,5358,-24,-42,24,12,-40,-24,-26,-6,0
123,123,0,5090,-266,-5168,-52,5122,370,-5096,-702,24,24,6,-4,8,-8,-12,-4,-172,-5384,-138,5308,490,-5302,-792,5242,24,4,8,-6,-8,20,-44,-22,0
124,124,0,5074,994,-5014,-1324,4946,1612,-4854,-1900,-8,8,-12,10,24,-24,6,-24,1112,-5204,-1376,5086,1712,-4944,-2050,4856,-8,36,-26,12,-56,36,-10,12,0
125,125,0,4714,2186,-4598,-2498,4458,2714,-4294,-3026,24,8,6,10,8,8,-28,-4,2366,-4648,-2616,4508,2948,-4276,-3178,4120,-56,-42,-10,-6,-8,20,-10,28,0
126,126,0,4068,3274,-3874,-3510,3654,3728,-3420,-3928,8,-8,-12,-4,8,-8,-28,26,3420,-3910,-3664,3658,3898,-3410,-4080,3166,-24,20,42,28,-8,4,24,-6,0
127,127,0,3182,4112,-2882,-4318,2634,4450,-2360,-4572,-8,8,-44,-20,8,-24,6,-20,4304,-2826,-4452,2588,4624,-2290,-4776,2004,-8,-24,8,-6,-8,20,-10,12,0
128,128,0,2072,4724,-1776,-4836,1482,4934,-1154,-4980,-24,-24,-12,10,24,-24,-12,10,4888,-1644,-4992,1304,5080,-1030,-5136,638,8,20,-10,-6,8,4,-44,-6,0
