Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc2_b1_1[15:0],u3_adc_analysis/adc2_b2_1[15:0],u3_adc_analysis/adc2_b3_1[15:0],u3_adc_analysis/adc2_b4_1[15:0],u3_adc_analysis/adc2_b1_2[15:0],u3_adc_analysis/adc2_b2_2[15:0],u3_adc_analysis/adc2_b3_2[15:0],u3_adc_analysis/adc2_b4_2[15:0],u3_adc_analysis/adc_en_vio_3
0,0,0,-23994,-24974,-23548,-19914,-14398,-7328,80,7508,2,-10,-8,-4,18,64,-8,-20,0
1,1,0,14140,19584,22984,24444,23664,20494,15412,8514,2,-10,26,-20,18,8,-8,14,0
2,2,0,526,-7830,-14914,-20576,-24010,-24990,-23566,-19914,18,8,-8,-4,-30,-10,-8,14,0
3,3,0,-14430,-7296,112,7508,14124,19632,22968,24492,2,64,10,14,2,8,10,30,0
4,4,0,23648,20462,15364,8450,510,-7814,-14898,-20560,2,-10,10,14,18,24,-8,14,0
5,5,0,-24042,-24974,-23548,-19866,-14334,-7344,16,7556,-30,-26,42,-4,34,8,10,14,0
6,6,0,14092,19568,23032,24460,23648,20462,15412,8466,18,-10,-8,30,2,-26,10,30,0
7,7,0,542,-7878,-14914,-20544,-23978,-25006,-23566,-19850,-30,8,-8,-36,2,-10,26,-20,0
8,8,0,-14414,-7344,16,7508,14156,19552,22984,24444,2,8,-24,-4,-30,-26,26,30,0
9,9,0,23632,20510,15428,8434,478,-7894,-14930,-20560,2,-10,10,14,2,8,-8,14,0
10,10,0,-23994,-24990,-23484,-19834,-14334,-7264,64,7540,2,8,-24,-4,-14,8,10,-4,0
11,11,0,14108,19600,23016,24460,23680,20542,15444,8466,2,8,42,-20,2,-10,10,-4,0
12,12,0,542,-7766,-14914,-20544,-23994,-24958,-23532,-19930,2,24,10,-4,-14,8,10,-4,0
13,13,0,-14382,-7296,64,7540,14156,19584,23016,24508,-14,-10,10,-4,18,24,10,30,0
14,14,0,23664,20494,15428,8466,542,-7798,-14898,-20592,-46,8,26,-4,34,-26,-8,-4,0
