Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc1_b1_1[15:0],u3_adc_analysis/adc1_b2_1[15:0],u3_adc_analysis/adc1_b3_1[15:0],u3_adc_analysis/adc1_b4_1[15:0],u3_adc_analysis/adc1_b1_2[15:0],u3_adc_analysis/adc1_b2_2[15:0],u3_adc_analysis/adc1_b3_2[15:0],u3_adc_analysis/adc1_b4_2[15:0],u3_adc_analysis/adc_en_vio_2
1062,1062,0,-3938,-11512,-18112,-22542,-24552,-24240,-21596,-17016,8,-28,-36,20,-52,22,-4,-30,0
1063,1063,0,-10692,-3346,4162,11018,17102,21484,23852,24070,8,6,46,4,-8,6,-20,36,0
1064,1064,0,22108,17886,11678,4270,-3954,-11512,-18058,-22492,-8,22,14,4,24,6,-20,36,0
1065,1065,0,-24600,-24208,-21564,-17000,-10644,-3448,4242,11066,-8,6,-4,-14,24,6,14,36,0
1066,1066,0,17134,21436,23868,24086,22076,17918,11678,4302,8,38,14,4,8,22,-20,-14,0
1067,1067,0,-3922,-11496,-18096,-22526,-24616,-24192,-21682,-17032,-8,22,14,-14,8,-12,14,-48,0
1068,1068,0,-10628,-3448,4146,11034,17086,21452,23884,24018,-52,22,-4,20,24,38,-4,-30,0
1069,1069,0,22076,17854,11694,4318,-3954,-11598,-18080,-22476,-8,22,-20,20,-8,6,-4,20,0
1070,1070,0,-24568,-24176,-21634,-17000,-10692,-3432,4226,10986,8,-12,46,20,-8,6,14,20,0
1071,1071,0,17118,21436,23900,24070,22092,17838,11678,4318,24,-12,-20,4,-36,6,-36,4,0
1072,1072,0,-3906,-11512,-18096,-22542,-24600,-24240,-21596,-16964,8,6,30,4,8,22,-4,4,0
1073,1073,0,-10644,-3432,4210,11002,17070,21452,23868,24102,8,6,14,4,-8,6,-4,36,0
1074,1074,0,22028,17854,11630,4334,-3906,-11614,-18042,-22526,-36,6,-20,20,72,-28,-4,4,0
1075,1075,0,-24568,-24240,-21628,-16948,-10644,-3448,4178,11106,8,6,-4,4,24,-12,-20,-14,0
1076,1076,0,17102,21436,23836,24102,22076,17886,11678,4286,8,-12,-4,4,-8,22,-4,4,0
1077,1077,0,-3938,-11480,-18042,-22510,-24584,-24240,-21596,-16984,8,22,-4,36,-8,6,-20,-30,0
1078,1078,0,-10644,-3378,4242,11034,17070,21468,23868,24038,-8,54,-4,4,-52,6,-20,20,0
1079,1079,0,22060,17854,11678,4286,-3922,-11496,-18096,-22526,-36,6,-4,4,40,38,-20,4,0
1080,1080,0,-24600,-24256,-21596,-16984,-10644,-3432,4226,11106,-52,6,14,20,8,54,-36,4,0
1081,1081,0,17118,21436,23900,24102,22108,17902,11694,4318,8,22,14,20,-8,-12,30,4,0
1082,1082,0,-3954,-11544,-18080,-22510,-24552,-24224,-21612,-16968,-36,6,-4,20,-8,6,-4,20,0
1083,1083,0,-10644,-3432,4226,11034,17070,21436,23836,24086,8,22,14,4,-68,-12,-20,-14,0
1084,1084,0,22076,17950,11718,4270,-3922,-11528,-18112,-22526,-52,-12,-4,20,24,6,-4,4,0
1085,1085,0,-24552,-24192,-21634,-16984,-10692,-3432,4226,11090,-8,-12,30,4,-68,38,-4,-30,0
1086,1086,0,17134,21468,23868,24086,22076,17838,11662,4318,24,22,-4,20,-8,-12,-4,4,0
1087,1087,0,-3938,-11528,-18026,-22492,-24568,-24240,-21580,-16900,-8,-12,-4,-14,-8,22,-4,4,0
1088,1088,0,-10628,-3432,4210,11050,17070,21500,23916,24118,8,22,14,-14,-8,6,-20,20,0
1089,1089,0,22092,18008,11646,4302,-3890,-11512,-18058,-22542,-8,-12,14,-14,-8,38,-4,20,0
1090,1090,0,-24584,-24224,-21634,-16968,-10596,-3394,4242,11018,-36,-12,-20,4,8,-12,30,4,0
1091,1091,0,17118,21484,23836,24086,22124,17886,11630,4254,-8,6,-4,-14,-8,-28,14,-30,0
1092,1092,0,-3922,-11512,-18096,-22526,-24600,-24224,-21596,-17000,-24,22,14,4,24,6,14,20,0
1093,1093,0,-10596,-3432,4210,11034,17150,21484,23820,24002,8,22,-20,20,8,6,-20,20,0
1094,1094,0,22092,17902,11694,4286,-3906,-11598,-18026,-22510,-24,-12,-4,4,-8,6,-4,4,0
1095,1095,0,-24600,-24272,-21650,-16948,-10628,-3394,4210,10954,8,-12,-20,36,-8,6,-4,4,0
1096,1096,0,17118,21468,23788,24038,22076,17918,11662,4286,8,-12,64,4,-68,-12,14,36,0
1097,1097,0,-3970,-11614,-18026,-22542,-24584,-24224,-21650,-16968,24,22,14,-30,8,-12,-20,20,0
1098,1098,0,-10660,-3346,4210,11034,17086,21452,23868,24086,-8,-12,30,4,8,-28,-20,-14,0
1099,1099,0,22108,17854,11630,4270,-3938,-11544,-18042,-22590,-8,-44,-4,20,-52,22,-20,4,0
1100,1100,0,-24584,-24240,-21580,-16984,-10644,-3448,4274,11018,-8,38,-4,20,40,54,30,20,0
1101,1101,0,17134,21468,23852,24086,22108,17886,11662,4286,8,6,14,20,8,22,-20,20,0
1102,1102,0,-3954,-11544,-18042,-22510,-24568,-24224,-21628,-16932,24,6,30,4,-8,6,-4,20,0
1103,1103,0,-10612,-3464,4210,11002,17086,21436,23868,24118,-52,-28,-4,20,24,-12,-4,4,0
1104,1104,0,22108,17854,11646,4302,-3954,-11560,-18112,-22542,40,54,-20,20,8,22,-20,4,0
1105,1105,0,-24584,-24192,-21634,-16984,-10596,-3432,4210,11034,24,-12,14,4,-8,38,-20,4,0
1106,1106,0,17118,21532,23884,24150,22076,17854,11630,4318,-8,22,-20,4,8,-12,-20,-30,0
1107,1107,0,-3954,-11544,-18112,-22542,-24568,-24224,-21580,-16984,-52,-28,-4,20,56,-12,14,-30,0
1108,1108,0,-10660,-3496,4258,11034,17102,21452,23884,24086,-36,-12,46,-30,-8,38,14,20,0
1109,1109,0,22108,17838,11614,4286,-3938,-11598,-18080,-22574,8,6,14,20,8,22,-20,4,0
1110,1110,0,-24600,-24208,-21612,-16984,-10628,-3378,4226,11122,8,22,-4,4,24,22,-4,4,0
1111,1111,0,17134,21468,23836,24086,22092,17870,11718,4270,-36,22,14,4,8,6,-4,20,0
1112,1112,0,-3938,-11544,-18026,-22526,-24616,-24272,-21596,-17000,8,6,-20,20,-52,-12,30,4,0
1113,1113,0,-10628,-3378,4242,11106,17118,21468,23820,24086,24,22,30,4,8,38,-4,36,0
1114,1114,0,22044,17886,11694,4302,-4002,-11512,-18080,-22526,-8,6,-20,4,-52,22,-36,20,0
1115,1115,0,-24616,-24224,-21596,-17016,-10660,-3432,4258,11106,8,38,-20,-14,8,-12,14,4,0
1116,1116,0,17134,21484,23852,24054,22076,17870,11678,4286,8,54,14,4,40,-12,-4,54,0
1117,1117,0,-3874,-11544,-18080,-22542,-24600,-24240,-21596,-17016,24,22,14,20,-8,6,-20,-14,0
1118,1118,0,-10644,-3432,4226,11034,17118,21420,23884,24034,8,22,-20,4,8,6,-20,4,0
1119,1119,0,22044,17870,11718,4254,-3938,-11614,-18160,-22558,-8,-12,-4,20,24,6,-20,-14,0
1120,1120,0,-24616,-24256,-21548,-16968,-10628,-3410,4162,11050,-36,-12,-4,4,-8,-28,30,-14,0
1121,1121,0,17102,21436,23820,24054,22124,17886,11694,4270,-52,22,-4,-14,24,22,-20,4,0
1122,1122,0,-3986,-11560,-18080,-22574,-24600,-24336,-21580,-17016,-8,22,-4,-30,-8,38,-4,4,0
1123,1123,0,-10612,-3464,4194,11066,17086,21452,23820,24070,-8,38,-4,4,8,38,-4,20,0
1124,1124,0,22044,17822,11646,4254,-3986,-11560,-18080,-22542,-8,-12,-4,36,-8,22,-4,4,0
1125,1125,0,-24600,-24256,-21634,-16932,-10596,-3410,4210,11106,8,22,-4,36,8,22,14,20,0
1126,1126,0,17086,21484,23852,24038,22012,17886,11646,4302,-8,22,-36,4,-8,38,-4,4,0
1127,1127,0,-3954,-11528,-18112,-22492,-24678,-24176,-21580,-17000,8,-12,14,4,8,38,14,4,0
1128,1128,0,-10660,-3394,4210,11034,17118,21468,23852,24102,-8,22,-4,20,-8,22,-20,-14,0
1129,1129,0,22060,17918,11662,4238,-3970,-11528,-18058,-22526,8,6,-4,36,8,38,14,-14,0
1130,1130,0,-24600,-24256,-21580,-16964,-10580,-3432,4258,11074,8,6,14,20,-8,6,-4,-30,0
1131,1131,0,17150,21452,23836,24086,22092,17870,11630,4318,-8,-12,-4,-30,24,22,-4,-30,0
1132,1132,0,-3906,-11560,-18144,-22510,-24568,-24272,-21634,-16984,24,38,14,20,-36,22,-20,-14,0
1133,1133,0,-10596,-3362,4210,11034,17118,21516,23868,24086,24,6,14,-14,8,6,14,4,0
1134,1134,0,22076,17854,11646,4318,-3922,-11560,-18026,-22542,8,6,-4,36,-8,-12,14,-14,0
1135,1135,0,-24600,-24256,-21596,-16964,-10660,-3378,4226,11090,-36,38,-4,4,24,22,-4,4,0
1136,1136,0,17086,21484,23916,24086,22044,17854,11678,4302,-8,22,-36,20,8,6,30,20,0
1137,1137,0,-3970,-11528,-18096,-22526,-24584,-24272,-21596,-16948,24,22,14,-14,-68,22,14,4,0
1138,1138,0,-10612,-3432,4242,11122,17134,21468,23884,24134,8,6,-4,-30,8,6,14,-14,0
1139,1139,0,22044,17886,11678,4302,-3954,-11544,-18080,-22542,24,6,14,-14,-8,22,-20,4,0
1140,1140,0,-24584,-24256,-21612,-16968,-10660,-3464,4226,11090,-52,22,-4,20,24,6,-4,4,0
1141,1141,0,17166,21484,23900,24086,22028,17870,11694,4238,8,22,-20,4,-36,6,-4,4,0
1142,1142,0,-3954,-11560,-18096,-22542,-24584,-24224,-21596,-16984,-8,6,-20,4,8,22,14,-30,0
1143,1143,0,-10596,-3378,4194,11122,17134,21500,23868,24054,8,38,-4,20,8,-12,-4,4,0
1144,1144,0,22060,17838,11646,4238,-3954,-11576,-18080,-22542,8,6,-20,4,24,-12,-20,36,0
1145,1145,0,-24584,-24272,-21580,-16984,-10644,-3378,4274,11090,-8,6,-4,20,-8,-12,-20,-14,0
1146,1146,0,17134,21452,23852,24102,22076,17854,11598,4254,24,22,-20,20,-36,6,-36,36,0
1147,1147,0,-3970,-11576,-18096,-22542,-24600,-24272,-21612,-17016,24,6,14,4,8,6,-20,-30,0
1148,1148,0,-10660,-3448,4258,11050,17134,21484,23900,24118,-52,22,-4,-14,24,-28,-36,-14,0
1149,1149,0,22108,17886,11614,4270,-3938,-11576,-18096,-22558,-8,-28,30,4,24,6,14,-30,0
1150,1150,0,-24584,-24272,-21580,-17016,-10596,-3378,4194,11050,-8,22,30,20,8,6,-20,-14,0
1151,1151,0,17134,21484,23868,24018,22060,17838,11630,4254,-36,22,14,-30,24,22,14,20,0
1152,1152,0,-3938,-11614,-18096,-22510,-24616,-24224,-21596,-16984,8,6,-4,-14,8,-12,14,-30,0
1153,1153,0,-10644,-3448,4226,11066,17086,21452,23836,24086,8,-12,14,4,8,6,-20,36,0
1154,1154,0,22012,17838,11630,4238,-3954,-11582,-18112,-22526,8,-12,-36,4,8,6,-4,20,0
1155,1155,0,-24632,-24208,-21650,-17000,-10644,-3394,4242,11090,8,22,14,-30,24,22,-20,20,0
1156,1156,0,17118,21500,23852,24018,22060,17822,11614,4254,8,22,14,-48,40,-12,-4,4,0
1157,1157,0,-3970,-11576,-18144,-22510,-24616,-24256,-21580,-16948,8,22,-4,-14,8,38,-36,4,0
1158,1158,0,-10612,-3410,4242,11034,17038,21468,23852,24086,40,-12,-20,4,8,-12,-4,4,0
1159,1159,0,22076,17854,11646,4270,-3938,-11614,-18144,-22526,8,-12,14,4,-8,-28,-20,4,0
1160,1160,0,-24632,-24240,-21634,-16948,-10612,-3410,4274,11018,8,-12,-4,-30,-24,22,-36,-30,0
1161,1161,0,17118,21468,23884,24070,22076,17854,11662,4238,24,-12,-4,-14,8,6,30,4,0
1162,1162,0,-3986,-11512,-18096,-22510,-24678,-24208,-21596,-16984,-8,6,-4,-30,24,22,14,-14,0
1163,1163,0,-10628,-3432,4258,11106,17118,21452,23852,24054,8,-12,30,-30,8,22,-4,4,0
1164,1164,0,22060,17838,11630,4222,-3970,-11614,-18128,-22558,8,22,-4,36,-8,22,-36,-30,0
1165,1165,0,-24616,-24208,-21596,-16984,-10596,-3378,4210,11050,-8,-12,-20,-30,8,22,14,36,0
1166,1166,0,17086,21452,23820,24118,22076,17870,11630,4270,-8,22,-4,20,8,-12,-20,4,0
1167,1167,0,-3986,-11598,-18128,-22510,-24616,-24208,-21666,-16948,-52,22,-20,4,8,6,-4,-14,0
1168,1168,0,-10628,-3378,4242,11074,17134,21500,23884,24038,24,38,14,4,8,6,-20,4,0
1169,1169,0,22108,17854,11678,4286,-4002,-11646,-18128,-22526,-8,22,14,4,24,22,14,-14,0
1170,1170,0,-24568,-24208,-21564,-16932,-10580,-3378,4226,11090,-8,22,14,4,8,38,14,4,0
1171,1171,0,17086,21436,23852,24086,22092,17886,11646,4270,-52,22,14,20,40,6,-4,20,0
1172,1172,0,-4002,-11630,-18112,-22558,-24584,-24272,-21634,-16948,-8,-12,14,-30,8,6,-4,4,0
1173,1173,0,-10644,-3346,4194,11034,17102,21420,23884,24118,8,6,-4,4,-52,6,-4,20,0
1174,1174,0,22076,17838,11630,4286,-3938,-11598,-18112,-22558,24,6,-20,20,24,22,-4,4,0
1175,1175,0,-24600,-24208,-21596,-17016,-10644,-3362,4210,11066,-8,38,-36,-14,8,38,-4,-14,0
1176,1176,0,17134,21468,23868,24070,22044,17902,11630,4254,24,22,-4,-30,8,6,14,-30,0
1177,1177,0,-4002,-11598,-18112,-22558,-24600,-24240,-21628,-17000,8,-28,14,20,8,22,-20,-14,0
1178,1178,0,-10676,-3394,4226,11050,17086,21452,23884,24038,-8,-12,-4,4,-52,6,30,-14,0
1179,1179,0,22108,17822,11630,4238,-3986,-11630,-18058,-22476,8,38,-20,-14,-8,6,-20,20,0
1180,1180,0,-24584,-24208,-21666,-16984,-10628,-3394,4242,11106,24,6,-4,4,-8,-12,14,-14,0
1181,1181,0,17134,21420,23852,24118,22044,17870,11646,4238,8,-12,-4,36,-8,-28,-4,20,0
1182,1182,0,-3954,-11544,-18112,-22558,-24584,-24240,-21596,-16968,-8,-12,-4,-14,40,-12,30,20,0
1183,1183,0,-10628,-3362,4274,11138,17134,21452,23852,24086,-8,22,-4,36,24,22,-20,4,0
