Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc1_b1_1[15:0],u3_adc_analysis/adc1_b2_1[15:0],u3_adc_analysis/adc1_b3_1[15:0],u3_adc_analysis/adc1_b4_1[15:0],u3_adc_analysis/adc1_b1_2[15:0],u3_adc_analysis/adc1_b2_2[15:0],u3_adc_analysis/adc1_b3_2[15:0],u3_adc_analysis/adc1_b4_2[15:0],u3_adc_analysis/adc_en_vio_2
0,0,0,-24520,-24256,-21808,-17250,-11004,-3720,3790,10760,24,22,-4,4,8,22,-20,20,0
1,1,0,16878,21288,23756,24102,22236,18120,11966,4676,-8,22,-4,-14,24,22,14,4,0
2,2,0,-3548,-11156,-17864,-22380,-24536,-24288,-21824,-17298,-36,-12,-4,20,8,-12,-4,4,0
3,3,0,-10956,-3720,3838,10708,16862,21324,23788,24086,-52,-12,-20,36,-8,22,-20,4,0
4,4,0,22188,18104,11950,4628,-3596,-11156,-17832,-22396,-8,6,-20,-30,-8,22,-36,-48,0
5,5,0,-24584,-24256,-21792,-17202,-10940,-3784,3870,10676,8,22,30,-48,8,6,-4,4,0
6,6,0,16862,21304,23820,24118,22204,18120,11998,4660,8,6,14,4,8,38,-36,4,0
7,7,0,-3564,-11272,-17832,-22380,-24536,-24336,-21744,-17250,24,6,-20,4,-8,6,-20,-30,0
8,8,0,-10988,-3832,3806,10692,16814,21224,23788,24102,8,-28,-20,-30,8,22,-4,-30,0
9,9,0,22236,18136,11982,4628,-3612,-11224,-17816,-22364,-52,6,30,-30,-36,6,14,4,0
10,10,0,-24568,-24288,-21728,-17234,-10940,-3752,3838,10724,-8,38,14,-14,-8,-12,-20,-14,0
11,11,0,16862,21272,23788,24086,22236,18184,11934,4660,8,6,14,4,24,38,-36,-30,0
12,12,0,-3516,-11156,-17832,-22364,-24536,-24304,-21760,-17282,8,6,-20,4,-8,6,14,-30,0
13,13,0,-10956,-3752,3838,10760,16878,21240,23804,24150,-8,-12,14,-14,8,6,-4,4,0
14,14,0,22268,18168,11982,4676,-3532,-11188,-17832,-22364,-8,22,-20,-14,-24,-12,-20,4,0
15,15,0,-24536,-24272,-21792,-17282,-10940,-3768,3790,10708,8,6,-20,36,-8,38,14,36,0
16,16,0,16894,21304,23820,24150,22188,18136,12026,4676,8,6,-4,36,-8,-12,-4,36,0
17,17,0,-3548,-11188,-17832,-22412,-24552,-24240,-21712,-17250,-24,38,-4,20,8,-12,-4,20,0
18,18,0,-10924,-3784,3886,10724,16894,21288,23804,24118,-8,6,-20,36,-8,-12,14,-14,0
19,19,0,22236,18136,11950,4660,-3596,-11256,-17832,-22380,-8,-12,-4,-14,24,-12,-36,4,0
20,20,0,-24536,-24304,-21776,-17266,-10972,-3784,3854,10708,24,-12,14,4,-24,-44,-4,4,0
21,21,0,16830,21272,23852,24150,22204,18152,12010,4676,-24,6,-36,4,8,22,-20,-30,0
22,22,0,-3628,-11204,-17832,-22380,-24552,-24256,-21824,-17266,-8,-12,-4,-30,-52,-12,-54,20,0
23,23,0,-10940,-3768,3854,10708,16846,21324,23788,24118,24,6,-36,-30,-8,6,14,-14,0
24,24,0,22220,18152,12042,4676,-3580,-11188,-17832,-22380,8,6,-4,20,24,-12,-4,4,0
25,25,0,-24552,-24288,-21776,-17282,-10988,-3752,3822,10724,8,38,-20,20,-8,-12,-36,4,0
26,26,0,16878,21304,23788,24118,22236,18136,11982,4628,-8,22,-4,-30,-36,6,-20,36,0
27,27,0,-3580,-11188,-17848,-22396,-24584,-24288,-21776,-17218,-8,6,-4,36,-8,6,14,4,0
28,28,0,-10940,-3720,3854,10692,16878,21324,23788,24118,-8,-28,-4,4,24,-12,-4,4,0
29,29,0,22220,18136,11978,4644,-3564,-11172,-17816,-22396,-8,6,-20,-30,40,6,14,-14,0
30,30,0,-24584,-24288,-21776,-17282,-11004,-3752,3838,10708,-8,22,-4,20,-8,-12,-4,4,0
31,31,0,16894,21272,23804,24134,22236,18104,11902,4660,8,6,-20,-14,-8,-12,-4,-14,0
32,32,0,-3564,-11240,-17832,-22428,-24584,-24320,-21792,-17234,-8,22,14,20,8,6,-20,4,0
33,33,0,-10924,-3720,3870,10708,16846,21272,23772,24086,-8,6,-4,36,-8,6,-20,4,0
34,34,0,22204,18104,11934,4628,-3580,-11188,-17816,-22396,-8,22,-20,-14,-36,6,-4,4,0
35,35,0,-24552,-24320,-21808,-17250,-10972,-3752,3790,10676,8,22,-20,4,-8,6,30,4,0
36,36,0,16814,21304,23804,24086,22156,18088,11982,4644,8,-12,-4,-30,-8,-12,-36,4,0
37,37,0,-3516,-11236,-17832,-22380,-24552,-24288,-21792,-17234,24,6,-20,-14,-8,38,-20,20,0
38,38,0,-10972,-3720,3822,10692,16894,21240,23804,24134,8,6,-4,4,-24,-12,-20,4,0
39,39,0,22204,18136,11934,4628,-3660,-11272,-17800,-22380,-36,38,-20,-14,24,38,30,4,0
40,40,0,-24584,-24272,-21808,-17282,-10956,-3752,3822,10676,-36,-12,-4,-30,24,22,-4,4,0
41,41,0,16878,21272,23772,24134,22204,18072,11950,4676,8,6,-4,20,-52,22,-4,4,0
42,42,0,-3596,-11204,-17832,-22396,-24552,-24288,-21744,-17234,8,-28,14,-30,8,-12,-4,-14,0
43,43,0,-10972,-3784,3838,10724,16910,21256,23756,24118,-8,22,14,4,-8,-12,14,-14,0
44,44,0,22252,18104,11918,4660,-3516,-11256,-17848,-22348,8,6,-4,-14,8,22,-20,36,0
45,45,0,-24488,-24288,-21776,-17266,-10972,-3704,3838,10644,8,22,14,4,-8,-12,-20,-14,0
46,46,0,16862,21340,23772,24086,22188,18168,11950,4660,8,6,-4,-14,-24,-12,14,-30,0
47,47,0,-3564,-11224,-17816,-22396,-24568,-24272,-21792,-17298,8,-12,-4,-14,-8,6,-20,4,0
48,48,0,-10940,-3736,3838,10724,16830,21304,23772,24086,-8,6,-20,-14,8,-12,-4,4,0
49,49,0,22204,18120,11966,4676,-3564,-11188,-17800,-22380,-8,38,-4,-30,8,22,14,-14,0
50,50,0,-24552,-24320,-21728,-17202,-10900,-3752,3822,10740,8,6,14,4,24,-12,-4,-14,0
51,51,0,16894,21340,23756,24070,22220,18136,11950,4660,-36,-28,14,4,24,38,-4,4,0
52,52,0,-3564,-11156,-17832,-22412,-24568,-24272,-21792,-17298,24,6,-20,4,24,6,-20,20,0
53,53,0,-10956,-3736,3838,10724,16846,21304,23724,24134,-8,6,-4,4,8,22,14,20,0
54,54,0,22140,18120,11934,4708,-3548,-11256,-17848,-22412,24,22,14,4,24,6,-20,-30,0
55,55,0,-24584,-24288,-21760,-17234,-10940,-3752,3822,10756,24,22,-4,4,-24,6,-4,4,0
56,56,0,16894,21288,23836,24166,22236,18088,11918,4592,-8,6,-4,20,-68,6,14,36,0
57,57,0,-3612,-11156,-17816,-22380,-24584,-24336,-21744,-17266,8,22,-4,20,24,6,14,-14,0
58,58,0,-10924,-3752,3870,10740,16894,21288,23772,24118,-8,6,30,4,8,38,-4,4,0
59,59,0,22236,18104,11934,4644,-3564,-11272,-17880,-22396,24,22,14,4,8,-12,-36,20,0
60,60,0,-24536,-24272,-21792,-17186,-10940,-3704,3838,10660,-24,6,-20,-14,24,38,-20,20,0
61,61,0,16878,21256,23804,24070,22156,18056,11950,4676,-8,22,-4,4,-8,38,-4,4,0
62,62,0,-3596,-11188,-17848,-22380,-24584,-24304,-21744,-17250,-8,6,-4,20,-8,22,-36,-30,0
63,63,0,-10988,-3784,3870,10724,16878,21256,23804,24086,-52,6,-20,20,-8,38,-20,4,0
64,64,0,22204,18120,11918,4628,-3596,-11188,-17864,-22460,-8,6,-4,20,-8,-12,-4,-14,0
65,65,0,-24600,-24288,-21760,-17298,-11004,-3736,3854,10724,8,22,-4,-14,8,38,-4,-14,0
66,66,0,16926,21304,23820,24054,22188,18072,11966,4612,24,6,-4,-30,-52,22,-20,4,0
67,67,0,-3580,-11304,-17848,-22364,-24552,-24224,-21760,-17298,8,-12,-4,4,-8,6,-4,-14,0
68,68,0,-10924,-3688,3822,10708,16846,21288,23820,24118,-52,22,-20,20,8,38,-20,36,0
69,69,0,22188,18136,11950,4644,-3564,-11272,-17832,-22380,8,-28,30,4,-24,22,-4,20,0
70,70,0,-24568,-24288,-21760,-17208,-10884,-3688,3854,10740,24,-28,-20,4,-8,22,-4,-14,0
71,71,0,16910,21356,23804,24166,22204,18184,11966,4628,-24,-12,-4,-30,8,22,-4,-48,0
72,72,0,-3564,-11220,-17832,-22396,-24552,-24304,-21744,-17266,24,38,-4,20,24,6,-4,4,0
73,73,0,-10956,-3752,3838,10708,16862,21256,23788,24118,-8,-12,14,4,-8,6,-20,20,0
74,74,0,22188,18104,11950,4612,-3596,-11188,-17832,-22428,-8,6,14,20,-8,22,-4,20,0
75,75,0,-24536,-24256,-21760,-17266,-10956,-3816,3854,10756,-8,6,-4,20,-8,38,14,36,0
76,76,0,16894,21288,23820,24150,22236,18088,11966,4612,-8,6,-20,20,-8,22,14,-14,0
77,77,0,-3580,-11208,-17848,-22364,-24536,-24272,-21776,-17250,-8,6,-4,20,-8,38,-20,-14,0
78,78,0,-11004,-3704,3854,10776,16894,21288,23820,24086,24,6,-4,4,-36,-12,-4,4,0
79,79,0,22156,18056,11998,4644,-3612,-11272,-17896,-22412,8,22,-4,4,8,22,-4,4,0
80,80,0,-24552,-24352,-21792,-17250,-10940,-3720,3886,10724,-36,22,-20,4,8,-12,-4,-30,0
81,81,0,16894,21372,23772,24118,22172,18072,11966,4628,8,6,-4,4,8,-12,14,36,0
82,82,0,-3596,-11224,-17896,-22364,-24568,-24256,-21776,-17266,-8,-12,-4,4,-8,6,-4,-14,0
83,83,0,-10956,-3720,3838,10708,16862,21320,23820,24102,8,6,14,-14,-36,38,-4,-14,0
84,84,0,22188,18104,11934,4612,-3596,-11256,-17880,-22396,8,22,-20,-14,-8,22,-4,20,0
85,85,0,-24520,-24240,-21808,-17202,-10900,-3720,3854,10808,-8,-12,-4,36,24,6,-4,4,0
86,86,0,16910,21272,23788,24086,22204,18120,11934,4676,8,6,-20,4,-52,22,30,-14,0
87,87,0,-3564,-11188,-17880,-22380,-24536,-24304,-21792,-17250,8,6,-4,-30,8,-28,-4,4,0
88,88,0,-10988,-3720,3806,10724,16878,21272,23772,24118,24,22,-4,-14,8,-12,-4,-14,0
89,89,0,22204,18104,11950,4644,-3580,-11256,-17864,-22380,-52,38,-20,-14,-8,-12,46,-14,0
90,90,0,-24504,-24240,-21760,-17314,-10988,-3736,3838,10756,24,-12,-4,4,8,-12,-4,20,0
91,91,0,16862,21272,23820,24070,22204,18120,12026,4660,40,6,-20,-14,24,-12,-20,20,0
92,92,0,-3612,-11304,-17816,-22396,-24568,-24272,-21792,-17218,8,22,-36,-30,24,-12,-4,20,0
93,93,0,-10900,-3720,3854,10724,16910,21340,23804,24086,24,22,-20,-14,8,38,14,20,0
94,94,0,22204,18040,11934,4612,-3564,-11256,-17848,-22444,-8,38,14,-14,8,6,-4,36,0
95,95,0,-24552,-24320,-21744,-17218,-10972,-3720,3838,10724,8,-12,14,4,8,6,-20,4,0
96,96,0,16846,21224,23740,24182,22188,18088,11934,4628,8,-12,-4,4,-8,22,-4,-14,0
97,97,0,-3596,-11240,-17816,-22412,-24568,-24304,-21744,-17250,24,38,-36,4,8,6,14,4,0
98,98,0,-10956,-3704,3822,10708,16846,21288,23788,24134,-8,22,-4,20,-8,38,-20,-14,0
99,99,0,22188,18120,11950,4660,-3564,-11172,-17832,-22364,-8,6,-20,-14,-52,22,-20,-30,0
100,100,0,-24552,-24208,-21776,-17266,-10884,-3720,3822,10740,-36,-12,-4,4,8,22,14,-30,0
101,101,0,16910,21304,23804,24118,22172,18072,11934,4628,8,6,14,4,-52,6,-4,-30,0
102,102,0,-3580,-11188,-17832,-22396,-24536,-24256,-21744,-17218,24,6,-4,20,-8,6,-36,20,0
103,103,0,-10884,-3720,3838,10724,16894,21336,23756,24118,8,38,-36,4,-52,38,-4,4,0
104,104,0,22204,18072,11966,4660,-3564,-11204,-17864,-22396,24,-12,-4,4,8,6,14,-14,0
105,105,0,-24552,-24240,-21776,-17266,-10884,-3720,3822,10692,-8,22,14,4,-8,22,14,-14,0
106,106,0,16910,21356,23756,24102,22140,18136,11902,4628,-8,22,-20,4,-8,22,-20,-30,0
107,107,0,-3580,-11288,-17864,-22412,-24552,-24224,-21760,-17266,8,22,-20,-30,8,-12,-36,-14,0
108,108,0,-10956,-3688,3870,10708,16942,21288,23756,24102,8,22,-20,36,8,6,30,-30,0
109,109,0,22188,18072,11966,4644,-3596,-11240,-17832,-22444,-8,-12,-4,-30,24,-12,-4,-14,0
110,110,0,-24600,-24224,-21744,-17234,-10956,-3736,3838,10708,-8,22,-20,20,-8,54,-20,20,0
111,111,0,16894,21256,23772,24086,22140,18088,11950,4628,8,-12,-4,20,-8,6,-4,-14,0
112,112,0,-3548,-11272,-17816,-22380,-24552,-24336,-21776,-17250,-52,6,-20,20,24,6,-4,4,0
113,113,0,-10956,-3720,3930,10724,16910,21272,23772,24118,-52,22,-20,20,-8,6,14,4,0
114,114,0,22172,18088,12010,4612,-3580,-11220,-17816,-22380,8,22,-20,-14,-36,22,14,36,0
115,115,0,-24552,-24224,-21808,-17202,-10956,-3720,3886,10756,-8,22,-4,4,-8,6,-20,-14,0
116,116,0,16878,21324,23836,24102,22188,18072,11934,4644,8,22,-20,4,-8,38,14,36,0
117,117,0,-3596,-11272,-17864,-22380,-24568,-24272,-21760,-17202,8,-12,14,4,24,6,14,-14,0
118,118,0,-10924,-3720,3822,10724,16958,21288,23740,24134,-52,38,14,-30,8,6,-4,-14,0
119,119,0,22172,18088,11934,4644,-3564,-11288,-17880,-22412,24,-28,-4,4,-8,6,-20,4,0
120,120,0,-24584,-24304,-21728,-17250,-10972,-3720,3870,10740,-8,22,-20,-14,8,-44,-4,4,0
121,121,0,16862,21304,23788,24102,22172,18088,11910,4644,24,22,-36,-14,8,22,14,-14,0
122,122,0,-3580,-11256,-17848,-22428,-24568,-24256,-21808,-17266,24,-12,-4,-30,8,6,-4,-14,0
123,123,0,-10940,-3704,3838,10708,16830,21304,23788,24054,24,6,14,-14,8,6,-4,20,0
124,124,0,22172,18040,11902,4644,-3644,-11304,-17848,-22412,8,-12,-20,4,-8,-12,14,36,0
125,125,0,-24600,-24240,-21744,-17266,-10972,-3704,3870,10740,-24,38,14,20,24,22,-4,-14,0
126,126,0,16894,21272,23772,24118,22220,18056,11950,4628,-36,38,14,4,24,-12,-36,-30,0
127,127,0,-3612,-11224,-17832,-22428,-24520,-24304,-21744,-17192,-8,38,-4,-14,-24,-12,-4,-30,0
128,128,0,-10940,-3752,3870,10708,16894,21320,23804,24070,-8,22,-4,20,8,22,-4,4,0
129,129,0,22156,18072,11950,4628,-3596,-11188,-17848,-22412,-8,38,14,-14,40,-12,-4,20,0
130,130,0,-24568,-24288,-21744,-17176,-10956,-3704,3886,10724,-8,6,-36,20,-8,6,-4,4,0
131,131,0,16862,21340,23788,24086,22172,18136,11982,4644,8,6,-4,4,24,38,-36,4,0
132,132,0,-3612,-11320,-17880,-22412,-24552,-24256,-21760,-17234,8,6,-20,20,-8,-28,-20,20,0
133,133,0,-10884,-3688,3930,10760,16894,21304,23772,24086,8,22,14,4,-8,22,14,4,0
134,134,0,22172,18072,11934,4542,-3612,-11288,-17816,-22396,8,22,-4,4,-8,22,-4,-30,0
135,135,0,-24536,-24272,-21792,-17234,-10884,-3784,3870,10724,-8,22,14,-48,24,6,14,20,0
136,136,0,16878,21304,23756,24070,22204,18136,11878,4558,-24,22,-4,4,24,-12,30,-48,0
137,137,0,-3644,-11304,-17832,-22380,-24552,-24304,-21776,-17266,8,6,-4,20,8,38,14,20,0
138,138,0,-10940,-3704,3838,10740,16878,21288,23820,24102,-8,-12,-4,4,-52,38,30,4,0
139,139,0,22188,18072,11966,4612,-3612,-11256,-17848,-22444,24,6,14,20,24,22,30,20,0
140,140,0,-24488,-24224,-21776,-17218,-10884,-3704,3946,10792,8,22,-20,36,-8,-44,-4,-14,0
141,141,0,16894,21304,23836,24134,22172,18088,11934,4644,-8,22,30,20,24,-12,14,-30,0
142,142,0,-3596,-11240,-17864,-22380,-24552,-24272,-21760,-17202,8,6,-20,-30,24,6,-4,20,0
143,143,0,-10972,-3656,3946,10760,16894,21256,23772,24150,8,6,14,36,24,6,-20,4,0
144,144,0,22156,18072,11878,4660,-3612,-11288,-17864,-22412,-8,6,-20,-48,-8,22,-4,4,0
145,145,0,-24616,-24288,-21808,-17250,-10884,-3704,3886,10724,8,-12,-4,4,24,22,-4,4,0
146,146,0,16878,21272,23788,24054,22140,18072,11934,4542,-8,22,30,4,-8,6,-4,-14,0
147,147,0,-3644,-11320,-17864,-22348,-24568,-24304,-21728,-17250,-36,22,-4,4,-36,22,14,20,0
148,148,0,-10956,-3720,3918,10756,16862,21256,23788,24086,8,22,-20,-14,8,6,14,20,0
149,149,0,22188,18072,11918,4612,-3580,-11288,-17848,-22412,8,38,-20,4,24,6,14,-14,0
150,150,0,-24568,-24304,-21824,-17250,-10884,-3720,3838,10740,8,38,-4,-14,-8,6,-4,-14,0
151,151,0,16894,21324,23756,24118,22156,18072,11870,4580,-8,-12,-4,-14,8,22,-4,-14,0
152,152,0,-3628,-11240,-17848,-22412,-24552,-24272,-21760,-17250,-8,22,14,-14,8,-12,-4,4,0
153,153,0,-10924,-3752,3886,10808,16894,21304,23820,24118,-24,6,14,20,8,-12,-20,4,0
154,154,0,22156,18072,11910,4644,-3580,-11256,-17848,-22444,-52,-12,-20,4,-8,6,14,-14,0
155,155,0,-24536,-24288,-21776,-17266,-10924,-3704,3854,10724,8,22,-4,20,8,22,14,20,0
156,156,0,16878,21340,23820,24134,22140,18088,11934,4612,-8,6,-36,-30,8,-12,14,36,0
157,157,0,-3644,-11240,-17832,-22396,-24600,-24240,-21712,-17250,8,22,-4,-14,-8,6,14,-14,0
158,158,0,-10884,-3672,3854,10740,16894,21388,23772,24070,24,-28,14,-14,24,-12,14,4,0
159,159,0,22188,18104,11950,4612,-3660,-11204,-17896,-22412,-8,6,-20,4,-8,6,14,20,0
160,160,0,-24584,-24288,-21744,-17202,-10956,-3688,3854,10792,-8,6,-20,-48,8,-12,14,4,0
161,161,0,16910,21272,23804,24134,22140,18088,11870,4608,8,6,14,20,8,6,-4,-30,0
162,162,0,-3612,-11256,-17864,-22364,-24552,-24336,-21792,-17234,-8,22,14,-30,8,6,-20,-48,0
163,163,0,-10940,-3688,3838,10724,16910,21272,23836,24102,8,22,-36,-14,8,22,-20,4,0
164,164,0,22140,18104,11950,4660,-3660,-11272,-17864,-22380,-52,6,-20,-30,-36,-12,-20,4,0
165,165,0,-24552,-24304,-21792,-17234,-10884,-3704,3930,10756,24,-12,-4,4,-8,6,30,4,0
166,166,0,16926,21288,23772,24086,22172,18072,11918,4592,8,-12,-4,20,-8,-12,-4,36,0
167,167,0,-3628,-11256,-17864,-22412,-24536,-24336,-21776,-17250,24,-12,-20,-30,8,6,-4,-14,0
168,168,0,-10940,-3720,3806,10692,16894,21304,23836,24102,8,-12,14,4,-8,-12,-36,20,0
169,169,0,22172,18040,11878,4612,-3660,-11288,-17880,-22412,-8,6,14,4,8,38,14,-30,0
170,170,0,-24536,-24320,-21760,-17208,-10916,-3736,3870,10756,-8,6,-20,-14,-8,6,-20,20,0
171,171,0,16862,21272,23820,24086,22188,18056,11878,4596,-52,-12,-36,4,8,22,14,4,0
172,172,0,-3596,-11320,-17912,-22380,-24568,-24272,-21808,-17202,24,-12,-36,-14,8,38,-4,36,0
173,173,0,-10972,-3720,3870,10756,16878,21324,23756,24118,-8,38,-4,4,-52,38,-20,-14,0
174,174,0,22156,18088,11894,4592,-3660,-11288,-17848,-22380,8,6,14,-30,8,22,-36,-14,0
175,175,0,-24552,-24304,-21776,-17234,-10868,-3720,3838,10740,8,22,14,20,-52,6,-4,-30,0
176,176,0,16894,21256,23820,24150,22204,18056,11966,4558,-52,22,14,20,-36,6,-4,4,0
177,177,0,-3644,-11288,-17864,-22380,-24568,-24288,-21744,-17266,24,38,-20,-48,-8,-12,-4,4,0
178,178,0,-10900,-3688,3886,10740,16878,21272,23788,24034,8,-12,30,20,-8,6,-20,-30,0
179,179,0,22156,18136,11870,4676,-3612,-11288,-17896,-22412,-52,22,-4,-48,-8,22,-36,4,0
180,180,0,-24584,-24320,-21744,-17192,-10956,-3688,3962,10772,-8,-12,-4,20,-52,22,-20,-14,0
181,181,0,16846,21272,23804,24070,22172,18120,11902,4580,24,6,-4,4,8,-12,-4,-48,0
182,182,0,-3580,-11288,-17880,-22396,-24536,-24288,-21808,-17234,24,22,-20,20,8,-12,30,-30,0
183,183,0,-10884,-3736,3854,10740,16910,21324,23820,24086,8,-28,-4,4,-8,6,-4,-30,0
184,184,0,22140,18056,11934,4558,-3596,-11320,-17896,-22444,8,-12,14,4,8,22,-36,-30,0
185,185,0,-24600,-24304,-21760,-17266,-10900,-3720,3886,10740,-8,22,-20,4,-8,6,-4,-30,0
186,186,0,16894,21356,23804,24102,22172,18072,11934,4564,-8,6,14,-30,-8,-12,-4,-30,0
187,187,0,-3628,-11288,-17848,-22428,-24552,-24320,-21744,-17218,8,-28,-4,-30,24,22,-4,4,0
188,188,0,-10884,-3688,3870,10776,16942,21320,23756,24102,8,6,-4,4,8,-12,-20,-30,0
189,189,0,22204,18088,11854,4612,-3644,-11224,-17864,-22380,-8,22,-36,-14,24,-12,-4,4,0
190,190,0,-24584,-24288,-21744,-17250,-10940,-3656,3934,10776,-8,-28,-4,-14,24,6,-20,4,0
191,191,0,16894,21288,23820,24102,22188,18072,11926,4644,8,22,30,20,-8,38,-4,-30,0
192,192,0,-3612,-11288,-17848,-22412,-24536,-24272,-21808,-17234,8,-12,-4,54,8,22,14,4,0
193,193,0,-10868,-3656,3930,10776,16878,21356,23820,24134,-8,-12,-4,36,24,6,-20,-30,0
194,194,0,22204,18088,11902,4596,-3612,-11320,-17832,-22396,-52,6,-20,-30,-36,-12,-36,20,0
195,195,0,-24552,-24272,-21712,-17176,-10940,-3688,3918,10740,-36,-28,-20,20,8,-12,-20,4,0
196,196,0,16894,21324,23804,24086,22172,18120,11934,4558,-52,22,-4,4,-8,6,-4,4,0
197,197,0,-3612,-11204,-17784,-22380,-24520,-24256,-21712,-17218,-8,6,-20,20,8,-12,-20,-14,0
198,198,0,-10956,-3704,3854,10740,16942,21272,23820,24070,-8,6,14,20,24,-12,14,-30,0
199,199,0,22156,18024,11918,4644,-3644,-11256,-17896,-22444,8,-28,-20,4,-8,22,14,-30,0
200,200,0,-24568,-24256,-21776,-17250,-10852,-3656,3930,10708,8,22,30,-30,8,6,14,20,0
201,201,0,16894,21272,23820,24118,22188,18072,11902,4576,-8,22,-4,36,-8,-12,14,-30,0
202,202,0,-3660,-11256,-17848,-22428,-24584,-24256,-21744,-17176,-68,22,14,4,-8,38,46,20,0
203,203,0,-10884,-3704,3838,10792,16910,21356,23836,24150,-52,6,14,-14,-8,6,-4,4,0
204,204,0,22172,18104,11918,4612,-3660,-11272,-17912,-22380,-36,6,-4,-30,-52,-12,-4,4,0
205,205,0,-24520,-24272,-21728,-17176,-10924,-3656,3946,10740,-24,-12,14,-14,24,22,14,4,0
206,206,0,16910,21340,23852,24134,22172,18072,11918,4612,-36,6,-4,-14,-8,6,-20,4,0
207,207,0,-3628,-11320,-17864,-22444,-24536,-24256,-21760,-17208,-8,6,14,-14,-8,-28,30,20,0
208,208,0,-10924,-3672,3886,10708,16894,21272,23788,24150,8,6,-4,20,-8,6,-36,-14,0
209,209,0,22204,18104,11902,4558,-3612,-11272,-17896,-22412,-8,-12,-20,20,-8,22,-4,-14,0
210,210,0,-24536,-24240,-21728,-17250,-10884,-3704,3962,10740,-8,6,14,-14,24,22,30,4,0
211,211,0,16878,21304,23820,24118,22204,18056,11942,4644,-8,-12,-4,-14,8,6,-20,4,0
212,212,0,-3596,-11272,-17896,-22444,-24568,-24240,-21728,-17218,24,-12,-4,-14,24,6,-4,4,0
213,213,0,-10924,-3672,3930,10808,16894,21356,23772,24086,24,-28,-20,20,-8,-12,-4,20,0
214,214,0,22172,18136,11902,4576,-3708,-11304,-17864,-22380,24,6,30,20,24,6,-20,20,0
215,215,0,-24520,-24256,-21744,-17144,-10924,-3704,3854,10808,-8,38,-4,-14,-8,54,30,4,0
216,216,0,16942,21372,23788,24070,22156,18104,11942,4628,40,6,-4,20,-8,22,-4,4,0
217,217,0,-3644,-11320,-17832,-22380,-24584,-24320,-21680,-17160,-8,-12,14,-14,-8,6,14,4,0
218,218,0,-10924,-3752,3946,10708,16894,21356,23772,24118,-8,-12,-20,-14,-8,-12,-4,4,0
219,219,0,22172,18040,11846,4596,-3644,-11272,-17864,-22396,-8,6,-20,20,-8,-28,-4,4,0
220,220,0,-24552,-24240,-21760,-17202,-10900,-3688,3994,10756,24,-28,-4,-30,-8,-28,-4,20,0
221,221,0,16926,21356,23820,24086,22172,18040,11942,4644,-52,22,-36,-30,24,6,14,20,0
222,222,0,-3644,-11320,-17832,-22412,-24600,-24256,-21728,-17208,8,-12,14,-14,-52,-44,-20,36,0
223,223,0,-10868,-3688,3962,10756,16942,21276,23820,24166,8,6,-20,4,8,6,-4,-14,0
224,224,0,22140,18120,11910,4644,-3612,-11272,-17944,-22428,24,22,-20,4,8,-12,-4,4,0
225,225,0,-24568,-24272,-21776,-17234,-10956,-3640,3886,10824,-8,-12,30,20,8,22,-20,4,0
226,226,0,16910,21320,23788,24118,22156,18056,11910,4558,-24,22,-4,4,24,6,-36,20,0
227,227,0,-3692,-11240,-17896,-22412,-24552,-24256,-21744,-17144,8,22,-4,20,8,6,14,20,0
228,228,0,-10956,-3672,3962,10792,16926,21256,23740,24070,-8,-12,-36,-14,-8,-12,-4,4,0
229,229,0,22204,18040,11894,4612,-3612,-11272,-17928,-22428,8,38,14,4,-8,6,-4,-14,0
230,230,0,-24520,-24240,-21760,-17218,-10924,-3656,3870,10724,-8,-28,30,20,-8,22,-36,20,0
231,231,0,16894,21304,23788,24134,22156,18088,11878,4580,8,6,-20,-14,8,-12,-20,-30,0
232,232,0,-3644,-11288,-17912,-22412,-24552,-24320,-21744,-17176,24,-12,-4,-48,-8,-12,-4,4,0
233,233,0,-10884,-3704,3962,10808,16894,21272,23772,24070,24,-12,14,20,-8,6,-20,20,0
234,234,0,22124,18104,11854,4580,-3628,-11304,-17912,-22428,-8,38,-4,20,-8,38,30,4,0
235,235,0,-24536,-24320,-21792,-17234,-10924,-3720,3946,10776,-8,-12,-4,-30,8,6,14,4,0
236,236,0,16910,21240,23756,24118,22172,18072,11918,4580,24,22,14,4,-8,6,14,-30,0
237,237,0,-3612,-11304,-17832,-22380,-24568,-24304,-21728,-17192,8,-12,-4,20,-8,22,-4,20,0
238,238,0,-10884,-3688,3978,10776,16942,21324,23820,24118,8,-12,30,20,-8,22,14,20,0
239,239,0,22140,18120,11838,4596,-3676,-11256,-17864,-22412,8,-12,-4,-14,24,38,14,4,0
240,240,0,-24488,-24272,-21728,-17176,-10868,-3672,3854,10792,-52,22,-20,20,-36,-12,14,20,0
241,241,0,16974,21340,23772,24102,22156,18088,11934,4542,-8,-28,-20,20,-8,-12,-4,-30,0
242,242,0,-3644,-11288,-17864,-22396,-24536,-24272,-21712,-17144,-8,-12,-20,-14,-52,-12,14,4,0
