Sample in Buffer,Sample in Window,TRIGGER,u2_adc_top/u3_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u3_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u4_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u4_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u2_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u2_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],adc1_sync,adc2_sync,adc3_sync,adc4_sync
0,0,0,0,f8ffd8ff,fcfffcff,2,defb8efc,0,4,f9fcf9a8,1,1,1,1
1,1,0,0,08001800,bcfffcff,2,eefa6efb,0,0,fad8f9b8,1,1,1,1
2,2,0,0,e8ff2800,fcffecff,0,2efa7efa,0,0,fa78fa08,1,1,1,1
3,3,0,8,fcfff8ff,ccffdcff,0,cef9eef9,0,0,fc48fbd8,1,1,1,1
4,4,0,0,f8ff0800,dcfffcff,0,7cf9fcf9,a,0,fd58fc08,1,1,1,1
5,5,0,0,08001800,dcfffcff,2,2efaeef9,0,0,fe12fe38,1,1,1,1
6,6,0,2,0800fc00,fcffbcff,0,eefa8efa,0,0,00a0ffd2,1,1,1,1
7,7,0,0,e8fff8ff,ecffccff,0,defb5efb,0,0,02300160,1,1,1,1
8,8,0,8,fcfff8ff,dcfffcff,2,6efdaefc,0,0,03ce021e,1,1,1,1
9,9,0,8,fc000800,dcfffcff,2,e8fef8fd,0,0,04240474,1,1,1,1
10,10,0,0,1800f8ff,bcfffcff,2,6600b6ff,0,0,052c05b4,1,1,1,1
11,11,0,0,1800e8ff,fcffdcff,8,dc013c01,0,0,06ec059c,1,1,1,1
12,12,0,8,fcffe8ff,fcffccff,0,3c03bc02,0,0,066c062c,1,1,1,1
13,13,0,8,fc000800,1c00dcff,0,8c04fc03,0,0,062c067c,1,1,1,1
14,14,0,8,fcfff8ff,2c00ecff,0,b2054205,0,1,05fc05fc,1,1,1,1
15,15,0,8,fc000800,dcff1c00,0,1206d205,0,0,041c058c,1,1,1,1
16,16,0,0,f8ff0800,0c001c00,0,fc065206,8,0,03240494,1,1,1,1
17,17,0,8,fc000800,fcffdcff,0,02064206,0,0,018e0284,1,1,1,1
18,18,0,2,08007c00,fcffdcff,8,8205d205,0,0,001001fe,1,1,1,1
19,19,0,0,08001800,ecff1c00,0,9a042205,0,0,feb0ff80,1,1,1,1
20,20,0,0,0800f8ff,dcfffcff,0,5c03fc03,0,0,fd02fed2,1,1,1,1
21,21,0,8,fcfff8ff,fcffccff,8,ec019c02,0,0,fb88fc28,1,1,1,1
22,22,0,0,0800e8ff,0c00ecff,0,56003c01,0,0,fa48fbe8,1,1,1,1
23,23,0,2,0800fc00,dcffbcff,0,d8feb6ff,0,0,fa68fac8,1,1,1,1
24,24,0,2,0800fc00,fcffecff,0,4efd18fe,0,0,f9f8f908,1,1,1,1
25,25,0,0,18002800,fcffccff,8,fefb8efc,0,4,f9fcf9a8,1,1,1,1
