Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out4[255:0]
64,64,0,0200f0ff1c00daff5a00f0ff2400d4ff005f2cb89851d6a08c2524aec2e922db
65,65,0,3200e0ff1c00caff0000e0ffb4ff580004255eaed6e986dbf8b7b615f2a01248
66,66,0,2200d0ffcaff1c00c2ff3c00d4ff0400ecb76615e6a05848f4ad1e5fb2daf251
67,67,0,f0ff1200eaff3c001e003c001400f4ff3eae105ff6dac8516615ac24f24772ea
68,68,0,020012001c001c000000e0ff2400f4ff661544250848c6e90e5ff8b7c25112a1
69,69,0,420012003c00daff2c00c2fff4ffd4ff105facb7a851d6a02c25b4ae52ea92da
70,70,0,22001200faffdaffe0fff0fff4fff4ffa4242eae06ea76dbc8b7e61502a13248
71,71,0,12001200caff1c00d2ff2c00d4ff58000cb83616d6a0a84804ae1e5ff2dae251
72,72,0,d0ff1200eaff2c00e0ff4c00e4ff14006eae005f46db7851a615fc247248f2e9
73,73,0,220072000c000c003c00d2ff5800e4ff6615f4246848b6e9fe5e28b7f25102a1
74,74,0,420012002c00eaff5a00c2ff0400c4fff05e0cb8b851e6a01c2524ae92ea32db
75,75,0,5200e0ff2c00daffd2ff1e00e4fff4ff74246eaeb6e966dbb8b7d615f2a00248
76,76,0,f0fff0ffdaff0c00c2ff5a00c4ff2400ecb7c615d6a0b848e4adee5e32dbd251
77,77,0,f0ff1200faff3c00d2ff3c00040024006eae005ff6da98517615ea23324842ea
78,78,0,020012001c00faff5a00e0ff7800d4ff9615f4249848f6e9ee5ef8b7b251f2a0
79,79,0,220002000c00daff6a00e0ff0400d4ff005fccb78851e6a04c2584aef2e9e2da
80,80,0,2200f0ff3c00eaff0000f0ffe4fff4ffb4242eae36eae6da08b8b61502a1d247
81,81,0,02000200faff1c00c2ff4c00c4ff6800bcb7c615f6a0984824ae0e5fe2daf251
82,82,0,e0ff2200caff1c00e0ff00001400e4ff4eaee05e56dbd851f614fc24f24782ea
83,83,0,f0ff22000c001c003c00e0ff0400e4ff2616d424684806eafe5e88b7e25102a1
84,84,0,120022001c00faff3c00c2ff1400d4ff005f2cb89851d6a0fc2434ae42ea92da
85,85,0,3200e0ff2c00caffe0fff0ffe4ff0400e4243eaea6e956dbc8b75616e2a08248
86,86,0,1200f0ffcaff2c00b2ff2c00e4ff0400fcb7a615d6a08848e4ad1e5f82daa251
87,87,0,02003200eaff3c00e0ff4c00040004005eae205f56dbc85136159a24824872ea
88,88,0,f0ff42002c00faff3c00e0ff2400c4ff2615d4240848f6e90e5f88b7e251f2a0
89,89,0,420012004c00daff3c0094ff5800e4ff105f0cb8b851c6a05c25b4ae62ea12db
90,90,0,6200d0ff0c00eafff0ffe0ffe4fff4fff4244eaef6e9e6db98b78615f2a01248
91,91,0,f0fff0ffdaff1c00d2ff2c00e4ff6800ecb75615d6a0584844aefe5ef2dac251
92,92,0,c0ff2200daff1c00e0ff3c00f4fff4ff2eae205f56db9851f6152c25f24772ea
93,93,0,f0ff1200daff3c004c00e0ff6800b4ff5615e4242848d6e9fe5e48b7d251f2a0
94,94,0,22000200faffeaff3c00c2ff0400e4fff05e3cb8d851a6a0ec2534ae62ea72da
95,95,0,6200e0ff0c00eafff0ffd2ffd4ff0400c4242eae26ea56dbc8b75616e2a00248
96,96,0,02000200faff1c00c2ff2c00e4ff5800bcb77615d6a0a84824aefe5ee2daa251
97,97,0,c0ff0200eaff2c001e004c00f4ff24004eae105f46dbc85146150a24324852ea
98,98,0,f0ff32000c002c004c00f0ff6800040066152425a84806ea0e5fb8b78251f2a0
99,99,0,420012001c00caff4c00d2ff2400c4ff105fbcb79851e6a04c25a4ae42ea02db
100,100,0,3200b0ff1c00cafff0ffe0fff4ff140044243eaee6e9a6db08b8a615e2a05248
101,101,0,0200f0ffcaffeaffe0ff0000e4ff2400fcb73615e6a0284844aefe5e42dab251
102,102,0,d0ff2200eaff2c00e0ff4c00040004001eae105fe6dac8518615fc246248f2e9
103,103,0,d0ff32000c004c003c00e0ff5800f4ff6615f424484806eafe5e98b7e251f2a0
104,104,0,120002001c00caff3c00b2ff0400d4ff005ffcb79851c6a0ec2434ae02ea52db
105,105,0,0200c0ff1c00aaff0000d2ffd4ff040004254eaef6e986dbb8b71616f2a08248
106,106,0,1200f0fffaffdaffb2ff4c00c4ff2400ecb79615d6a0484814aeee5e22dbb251
