Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0]
59,59,0,0a00e8ff1e00ecfff0fff0ffd0ff1000c244eaa4061468bb34dbc6ed6ab1ca25
60,60,0,f8ffa8ffecffecffc0ff1200d0ff100028dffce936b3ca229ea4a24d2ab94a5b
61,61,0,e8ff0a00bcff2e00b0ff2200f0ff1000aaa4144c58b77c5bc6e61247ca1f0a18
62,62,0,c8ff2a000e000e0022003200200000002ae3c449281ca81a224ab6e19a5bfab4
63,63,0,1a003a001e00ccff3200c0ff2000f0ff44482ae55c5b88b7724b8ea4da1eeab4
64,64,0,3a00f8ff3e00ccff1200b0ffe0ffc0ffb44daaa42a2126b346e976df9ab9ea18
65,65,0,1a00d8ffecffdcffd0ff2200e0ff50000cec88dcc8bb06162ea562467ab10a5b
66,66,0,b8ff0a00ccff2e00d0ff2200d0ff50005aa53243d4afac5aa4d9d24f8a11ea24
67,67,0,c8ff3a00ecff1e00f0ff02005000d0ffc6d60651940efc27604196ee7a5a4abe
68,68,0,0a002a003e000e003200d0ff2000d0ff503ebef2bc59eabfc252fea5ba2a0aae
69,69,0,0a00d8ff3e00ecff1200e0fff0fff0ffe6539aa6ae2db4ac58f614d48ac27a0b
70,70,0,0a00e8fffcffecffe0ffe0ffb0ff100060f966d04cc532085ea7903b1aab2a59
71,71,0,d8ff1a00ccff2e00b0ff22000000f0ff1ca8903922aa3c58b4cd7455ea049a30
72,72,0,d8ff4a00fcff3e001200120050000000c4ca765630018033703628fd3a57fac7
73,73,0,d8ff1a001e00fcff4200e0ff5000d0ffce332200fc552ecba4574ea95a36faa8
74,74,0,2a00c8ff2e00ccff1200b0ff0000d0ff48585caa1239d2a7aa03a2c78acdcafd
75,75,0,0a00d8fffcffecffe0ff1200e0ff0000d20682c500d01efb90abee310aa7da54
76,76,0,d8ff0a00bcff0e00e0ff2200000070006cad4c2e32a69a5382c274590af78a3b
77,77,0,96ff3a00ecff2e00c0ff02002000000022c0f8599af3943ece2a2a0aea510ad4
78,78,0,e8ff2a001e00fcff4200d0ff7000f0ffda27140e7a5062d6a45ad0ae3a416aa5
79,79,0,3a00f8ff4e00bcff4200b0ff10000000185b0eb0764362a51c1122be0ad9faef
80,80,0,f8ffb8ff0e00ecfff0ff0200c0ffe0ff661470bb94dcb8ec20b29e24daa49a4e
81,81,0,d8ffe8ffbcff2e00b0ff1200b0ff5000deb39a2182a4f84c40b9345b5ae9ba45
82,82,0,d8ff2a00bcff2e0002004200300000002eb7485b66e606485c1e7c18da4a0ae0
83,83,0,f8ff1a000e001e002200f0ff1000e0ff381b781b7849c6e2845bc0b5ea49aaa4
84,84,0,f8ffd8ff2e00ecff2200a0ff2000f0ff385b7eb7b84b70a47c1eb0b4fae5eae2
85,85,0,3a00b8ff0e00ccfff0ff0200d0fff0ffda21feb2d8e8f4df50bacc18daa41a47
86,86,0,e8ffe8ff0e000e00d0ff4200d0ff500060bc361422a5164500b1345b6adc0a4e
87,87,0,d8ff3a00ccff3e00f0ff1200100010007cafd85a72d97a4f9c114e248a422aed
88,88,0,c8ff0a000e00fcff1200f0ff2000c0ff840e7c2864401af0645ae2be1a514aa5
89,89,0,3a00e8ff3e00dcff2200b0ff0000d0ffc859f2c0aa52e2a56e2b70aeeaf33ad6
90,90,0,0a00d8ff0e00ccffe0ff120000001000ac2d5cac2cf760d3c2c35a0aaaa66a3d
91,91,0,e8ffb8ffccffecfff0ff2200c0ff2000f2c5520782a7d23af0aa44594ad00a54
92,92,0,f8ff0a00ccff0e00d0ff2200100020002caad6577ecd4a55ca032e314a382afa
93,93,0,c8ff4a00fcff2e001200f0ff6000f0ff72008e33f0356efd045752c8aa567aa8
94,94,0,0a00e8ff0e00ccff1200f0ff2000e0ffc655e4cb6c57b2a9f036fea87a014aca
95,95,0,1a00b8ff0e00bcffe0ffd0ffd0ffe0ffa039caa79005ecc7a4ce78fddaaa7a32
96,96,0,0a00d8ffccffdcffd0ff0200e0ff600056d1b0f944ac1e30cea682542ac58a58
97,97,0,d8ff0a00ccff1e00d0ff2200e0ff70003aa666535ac22c5948f5c03b7a2c9a08
98,98,0,c8ff1a00dcff0e00220012001000e0ffeef2603e2c2a820ba251b4d40a5a5aad
99,99,0,1a00e8ff2e00dcff4200d0ff5000e0ff4650a6d76c5ae4ae7041bea52a0f0ac0
100,100,0,3a00c8ff3e00dcff1200f0fff0ffd0ff72432aa57612babde4dae6eeaab0fa26
101,101,0,e8ffb8ffecfffcffc0ff1200d0ff100078dd5cec86b2aa231ea5224f1abbfa5a
102,102,0,c8fff8ffacff1e00e0ff2200d0ff00006aa4244d78b93c5b96e862457a20ea15
103,103,0,e8ff3a00ecff1e00320002005000f0ff9ae53448881da818224b06e08a5baab4
104,104,0,2a001a003e000e004200e0ff6000f0ff84483ae44c5b76b6324a7ea49a1ceab6
105,105,0,1a00c8ff1e00ccff1200d0fff0ffe0ff044c6aa41a1fc6b436e726e27ab80a1a
106,106,0,1a00c8ffecffecffe0ff0200d0ff10003ceb58df08ba1617aea4a246dab23a5b
107,107,0,e8ff0a00dcff3e00f0ff5200000060002aa58244e6b05c5bd4dba24d1a131a23
108,108,0,d8ff5c00dcff2e00020002001000f0ff38d8844fd40f1c26d04176eeaa5a4abd
109,109,0,0a00d8ff1e00ecff4200d0ff0000d0ffb03f9ef12c5a3abf82514ea56a290aaf
110,110,0,3a00d8ff3e00ccff1200d0ff0000f0ffc6521aa6fe2b14ae58f594d49ac1ea0b
111,111,0,f8ffc8ffecff1e00d0ff4200c0ff500030f876d20cc42209dea6e03d7aacca59
112,112,0,f8ff0a00bcff0e00b0ff3200e0ff60008aa7d03a54abdc5834cf92544a052a2f
113,113,0,e8ff4a00dcff3e00120002000000000084cc565580025032d03768fbda573ac7
114,114,0,1a003a001e00ecff4200f0ff7000d0ffae35d0fe5c575ec9a456aea81a35eaa9
