Sample in Buffer,Sample in Window,TRIGGER,u2_adc_top/u3_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u3_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u4_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u4_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u2_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u2_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],adc1_sync,adc2_sync,adc3_sync,adc4_sync
830,830,0,0,00f0ff00,fcffeaff,8,ff0e00ee,0,2,f4fffc00,1,1,1,1
831,831,0,0,00e0ff10,faff7cff,2,000e00de,0,0,04001400,1,1,1,1
832,832,0,4,00fc0000,2a00daff,0,fffefffc,1,0,f4ffe4ff,1,1,1,1
833,833,0,4,00fc0010,fcffeaff,8,fffeffee,0,0,04001400,1,1,1,1
834,834,0,0,00f0ff20,eaff1a00,0,ffdefffc,1,8,fcfff4ff,1,1,1,1
835,835,0,0,00100000,eafffcff,2,ffdeffee,0,0,f4ff0400,1,1,1,1
836,836,0,1,001000fc,eaff0a00,0,fffcfffe,4,8,fc000400,1,1,1,1
837,837,0,0,fff0ff00,2a00caff,0,00feffde,0,8,fc000400,1,1,1,1
838,838,0,1,ff1000fc,2a00caff,0,fffeff0e,0,8,fc000400,1,1,1,1
839,839,0,0,000000f0,0a00eaff,0,ff0e00fc,1,0,f4ff0400,1,1,1,1
840,840,0,1,001000fc,faffdaff,0,ffeefffe,0,8,fc001400,1,1,1,1
841,841,0,0,00000020,0a00daff,0,fffcfffe,4,0,0400f4ff,1,1,1,1
842,842,0,1,00e0fffc,fcffeaff,8,fffeffee,0,0,e4ff3400,1,1,1,1
843,843,0,0,00200030,2a00eaff,0,fffefffc,1,0,24000400,1,1,1,1
844,844,0,0,00000010,3a004a00,0,fffefffc,1,0,0400e4ff,1,1,1,1
845,845,0,1,001000fc,0a00daff,0,00feffee,0,0,04001400,1,1,1,1
846,846,0,1,000000fc,fc001a00,8,fffc000e,4,0,1400f4ff,1,1,1,1
847,847,0,1,ff0000fc,fc001a00,8,007cffee,4,8,7c000400,1,1,1,1
848,848,0,0,001000f0,2a000a00,0,00feff0e,0,0,f4ff0400,1,1,1,1
849,849,0,0,00200000,1a00fc00,2,00feff0e,0,2,f4fffcff,1,1,1,1
850,850,0,1,fff0fffc,1a00eaff,0,ffeeff0e,0,0,1400e4ff,1,1,1,1
851,851,0,1,00e0fffc,0a00faff,0,ffeeffde,0,0,0400f4ff,1,1,1,1
852,852,0,0,00400000,fcffeaff,8,00fcfffe,4,2,1400fc00,1,1,1,1
853,853,0,0,00e0ff10,daff0a00,0,fffc000e,4,0,3400e4ff,1,1,1,1
854,854,0,0,fff0ff10,eafffaff,0,ff1e00ee,0,0,d4ff1400,1,1,1,1
855,855,0,1,00f0fffc,eaffbaff,0,00deffee,0,0,04001400,1,1,1,1
856,856,0,4,00fc0000,0a00faff,0,00feff0e,0,8,fc001400,1,1,1,1
857,857,0,4,fffc0000,1a00eaff,0,fffeff0e,0,0,1400f4ff,1,1,1,1
858,858,0,0,ff0000e0,0a002a00,0,ffeefffc,1,0,f4ff0400,1,1,1,1
859,859,0,4,00fcffe0,eafffaff,0,fffefffc,1,0,14000400,1,1,1,1
860,860,0,0,00f0ff00,dafffaff,0,fffefffc,1,0,e4fff4ff,1,1,1,1
861,861,0,4,007c0020,eaffcaff,0,fffeffde,0,0,0400f4ff,1,1,1,1
862,862,0,4,00fc0010,0a00caff,0,fffeffee,0,0,14002400,1,1,1,1
863,863,0,0,00000030,cafffaff,0,ffeefffc,1,2,0400fc00,1,1,1,1
864,864,0,0,00f0ff10,faffdaff,0,00fefffc,1,2,2400fc00,1,1,1,1
865,865,0,0,00000010,daff0a00,0,ffeeff0e,0,2,e4fffc00,1,1,1,1
866,866,0,0,00f0ff10,daffeaff,0,ff0e00fe,0,0,04001400,1,1,1,1
867,867,0,0,00f0ff10,1a000a00,0,ff0e00fe,0,2,f4fffc00,1,1,1,1
868,868,0,4,00fc0000,daffeaff,0,ff0e00fe,0,8,fc001400,1,1,1,1
869,869,0,0,00100020,2a00caff,0,000e00fe,0,8,fcfff4ff,1,1,1,1
870,870,0,4,fffc0000,0a00faff,0,00eeff1e,0,8,fc000400,1,1,1,1
871,871,0,0,000000f0,0a002a00,0,fffeff1e,0,0,0400f4ff,1,1,1,1
872,872,0,1,ffe0fffc,faffdaff,0,ff0e00fc,1,2,0400fc00,1,1,1,1
873,873,0,4,00fcfff0,eaffdaff,0,fffeffee,0,8,fcfff4ff,1,1,1,1
874,874,0,0,ff300010,eaffdaff,0,000e00fc,1,8,fcfff4ff,1,1,1,1
875,875,0,4,fffcfff0,eafffaff,0,00eefffc,1,0,04002400,1,1,1,1
876,876,0,0,00f0ffe0,1a00daff,0,ffeeff0e,0,0,0400f4ff,1,1,1,1
877,877,0,0,00f0ff20,0a00faff,0,ff0e00fc,1,0,d4fff4ff,1,1,1,1
878,878,0,0,00000010,dafffaff,0,fffcfffe,4,0,04001400,1,1,1,1
879,879,0,1,000000fc,fcffeaff,8,fffeffee,0,2,1400fc00,1,1,1,1
880,880,0,0,00000010,fcffeaff,8,fffefffc,1,2,d4fffc00,1,1,1,1
881,881,0,0,fff0ff10,faffeaff,0,ffeefffc,1,8,fcfff4ff,1,1,1,1
882,882,0,1,ff0000fc,0a00eaff,0,ffeefffe,0,0,e4ff0400,1,1,1,1
883,883,0,0,000000f0,fcffeaff,8,fffefffc,1,0,f4ff0400,1,1,1,1
884,884,0,1,ff1000fc,fc000a00,8,00feffee,0,0,e4ff1400,1,1,1,1
885,885,0,0,00f0ffe0,eaff0a00,0,fffc000e,4,0,e4ff1400,1,1,1,1
886,886,0,4,fffc0000,1a000a00,0,00fcffee,4,0,f4ff0400,1,1,1,1
887,887,0,4,fffcfff0,faff0a00,0,ffdeff0e,0,2,0400fcff,1,1,1,1
888,888,0,0,fff0ffe0,eaff0a00,0,fffcfffe,4,0,f4ff1400,1,1,1,1
889,889,0,1,001000fc,eafffcff,2,ffdefffe,0,0,e4ff0400,1,1,1,1
890,890,0,1,000000fc,eaff0a00,0,fffcfffe,4,0,f4ff0400,1,1,1,1
891,891,0,5,007c00fc,faffdaff,0,ffeefffe,0,2,1400fcff,1,1,1,1
892,892,0,0,00100000,0a00daff,0,ff7cfffe,4,a,7c00fc00,1,1,1,1
893,893,0,0,00200000,eafffaff,0,ffeeffde,0,8,fcfff4ff,1,1,1,1
894,894,0,0,00f0ff10,dafffcff,2,fffefffc,1,8,fc001400,1,1,1,1
895,895,0,4,fffc0000,faffcaff,0,fffefffc,1,0,0400e4ff,1,1,1,1
896,896,0,0,001000f0,eaffcaff,0,ffdeffee,0,0,04002400,1,1,1,1
897,897,0,4,fffc0000,0a00faff,0,fffcfffe,4,0,1400e4ff,1,1,1,1
898,898,0,4,fffcfff0,fc001a00,8,ffeefffe,0,2,f4fffc00,1,1,1,1
899,899,0,0,00f0ffc0,1a002a00,0,00fefffc,1,0,04002400,1,1,1,1
900,900,0,0,00100000,eaff0a00,0,fffeff0e,0,0,f4ffe4ff,1,1,1,1
901,901,0,1,fff0fffc,eafffcff,2,ffdeffee,0,0,04001400,1,1,1,1
902,902,0,1,ff2000fc,1a00fcff,2,fffcfffe,4,0,2400e4ff,1,1,1,1
903,903,0,0,ffe0fff0,daff0a00,0,fffcfffe,4,0,24000400,1,1,1,1
904,904,0,1,ff1000fc,0a002a00,0,ff0e00ee,0,8,fc000400,1,1,1,1
905,905,0,0,ff2000e0,1a002a00,0,ff0e00de,0,0,14000400,1,1,1,1
906,906,0,4,007cffe0,eaffdaff,0,00fcfffe,4,2,f4fffc00,1,1,1,1
907,907,0,4,00fc0010,faffdaff,0,fffeff0e,0,2,0400fcff,1,1,1,1
908,908,0,0,00200010,fafffcff,2,fffeffee,0,0,04001400,1,1,1,1
909,909,0,0,ff100000,dafffcff,2,ff0e00ee,0,2,0400fc00,1,1,1,1
910,910,0,0,ff0000f0,0a00faff,0,fffcfffe,4,0,e4fff4ff,1,1,1,1
911,911,0,0,ff2000e0,0a00daff,0,ff1e00de,0,0,d4ff0400,1,1,1,1
912,912,0,0,ff1000f0,faffdaff,0,00eefffe,0,8,fc001400,1,1,1,1
913,913,0,0,000000e0,eafffcff,2,00fc000e,4,0,1400e4ff,1,1,1,1
914,914,0,1,000000fc,1a003a00,0,00feff0e,0,0,e4fff4ff,1,1,1,1
915,915,0,1,ff1000fc,eaff2a00,0,ffeeff0e,0,0,2400f4ff,1,1,1,1
916,916,0,4,fffcfff0,dafffcff,2,fffcfffe,4,0,24000400,1,1,1,1
917,917,0,0,00d0ffe0,0a00eaff,0,fffcfffe,4,0,2400f4ff,1,1,1,1
918,918,0,0,fff0ff10,dafffc00,2,00feffee,0,0,f4ff1400,1,1,1,1
919,919,0,1,00f0fffc,0a004a00,0,ffdeff0e,0,2,1400fcff,1,1,1,1
920,920,0,0,00d0ff00,caffdaff,0,ff0e00fc,1,0,f4ff0400,1,1,1,1
921,921,0,4,007c0000,eafffaff,0,fffcffee,4,0,04001400,1,1,1,1
922,922,0,4,00fc0010,fcffcaff,8,007cfffe,4,a,7c00fc00,1,1,1,1
923,923,0,4,fffc0000,baff1a00,0,fffc000e,4,0,f4ff2400,1,1,1,1
924,924,0,0,ff2000e0,eafffaff,0,ffceffee,0,0,24001400,1,1,1,1
925,925,0,4,00fcffd0,0a002a00,0,fffcffee,4,8,fc000400,1,1,1,1
926,926,0,0,00f0ff00,faffeaff,0,00fcfffe,4,0,04001400,1,1,1,1
927,927,0,4,00fc0000,eaff0a00,0,fffeff1e,0,0,0400f4ff,1,1,1,1
928,928,0,0,00000010,daff0a00,0,ffeefffc,1,0,04001400,1,1,1,1
929,929,0,1,000000fc,fcffeaff,8,00eefffc,1,2,f4fffc00,1,1,1,1
930,930,0,1,000000fc,eafffaff,0,ffeeff0e,0,0,d4ff0400,1,1,1,1
931,931,0,0,00000010,0a00fcff,2,ff0e00fe,0,8,fc001400,1,1,1,1
932,932,0,1,00f0fffc,fcffdaff,8,000e00fe,0,8,fc001400,1,1,1,1
933,933,0,0,00e0ff00,0a002a00,0,00fefffc,1,0,2400f4ff,1,1,1,1
934,934,0,4,00fc0000,faffcaff,0,ffeeff0e,0,0,f4ffe4ff,1,1,1,1
935,935,0,0,00e0ff00,1a00caff,0,002e00de,0,0,d4ff1400,1,1,1,1
936,936,0,0,fff0ff00,fc002a00,8,00deff0e,0,8,fc000400,1,1,1,1
937,937,0,0,001000e0,faffdaff,0,fffeff0e,0,0,f4ffd4ff,1,1,1,1
938,938,0,1,000000fc,0a00daff,0,ff0e00de,0,0,f4ff0400,1,1,1,1
939,939,0,1,001000fc,eaff1a00,0,000e00de,0,8,fc001400,1,1,1,1
940,940,0,1,000000fc,fcffdaff,8,00eefffc,1,0,0400d4ff,1,1,1,1
941,941,0,1,ff0000fc,0a00eaff,0,fffeff1e,0,8,fcfff4ff,1,1,1,1
942,942,0,0,ff0000f0,0a002a00,0,000e00ce,0,0,04001400,1,1,1,1
943,943,0,0,00f0ffe0,faffeaff,0,00defffc,1,0,1400f4ff,1,1,1,1
