Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc3_a1_1[15:0],u3_adc_analysis/adc3_a2_1[15:0],u3_adc_analysis/adc3_a3_1[15:0],u3_adc_analysis/adc3_a4_1[15:0],u3_adc_analysis/adc3_a1_2[15:0],u3_adc_analysis/adc3_a2_2[15:0],u3_adc_analysis/adc3_a3_2[15:0],u3_adc_analysis/adc3_a4_2[15:0],u3_adc_analysis/adc4_a1_1[15:0],u3_adc_analysis/adc4_a2_1[15:0],u3_adc_analysis/adc4_a3_1[15:0],u3_adc_analysis/adc4_a4_1[15:0],u3_adc_analysis/adc4_a1_2[15:0],u3_adc_analysis/adc4_a2_2[15:0],u3_adc_analysis/adc4_a3_2[15:0],u3_adc_analysis/adc4_a4_2[15:0],u3_adc_analysis/time_4s_1
0,0,0,-10402,10732,3796,-13134,4494,10200,-10800,-3430,-11590,10986,4764,-14022,3964,11556,-11132,-4486,28,8,-10,28,28,-24,-10,-6,0,0,0,0,0,0,0,0,0
1,1,0,13058,-4702,-10046,11088,3212,-13074,4906,9954,14016,-4272,-11308,11290,4290,-13970,4440,11210,-20,24,-10,-6,-4,-24,-26,-6,0,0,0,0,0,0,0,0,0
2,2,0,-11128,-3110,13006,-5142,-9850,11306,2884,-13086,-11382,-4144,13956,-4614,-11086,11588,3988,-14022,-4,-24,-10,-22,12,-8,24,-6,0,0,0,0,0,0,0,0,0
3,3,0,5320,9692,-11314,-2586,12978,-5490,-9658,11480,4874,10978,-11704,-3696,13968,-5086,-10788,11796,-36,-8,8,12,28,-24,-10,-6,0,0,0,0,0,0,0,0,0
4,4,0,2454,-12994,5674,9374,-11538,-2288,12944,-5898,3470,-13970,5268,10638,-11910,-3228,13924,-5482,-20,8,40,12,12,-24,-26,-22,0,0,0,0,0,0,0,0,0
5,5,0,-9378,11678,2010,-12958,6030,9176,-11680,-1776,-10512,12078,3026,-13942,5648,10386,-12178,-2804,28,-24,24,12,-36,-24,8,12,0,0,0,0,0,0,0,0,0
6,6,0,12882,-6198,-8968,11858,1640,-12830,6364,8838,13888,-5846,-10208,12318,2598,-13874,6066,10062,-4,8,-10,-22,-52,-8,-10,12,0,0,0,0,0,0,0,0,0
7,7,0,-11938,-1442,12784,-6564,-8772,12046,1032,-12758,-12412,-2332,13860,-6178,-9978,12480,2226,-13846,12,-24,-26,12,28,24,-10,-22,0,0,0,0,0,0,0,0,0
8,8,0,6798,8558,-12020,-1052,12666,-6900,-8450,12194,6406,9822,-12528,-1942,13778,-6644,-9706,12686,-68,-24,8,44,-4,-40,-10,-6,0,0,0,0,0,0,0,0,0
9,9,0,836,-12638,7156,8226,-12226,-576,12572,-7328,1744,-13730,6852,9424,-12684,-1528,13716,-7008,-20,24,-10,-22,-4,-24,-42,-38,0,0,0,0,0,0,0,0,0
