Sample in Buffer,Sample in Window,TRIGGER,u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],adc1_sync
188,188,0,0,f6ff1600,1
189,189,0,2,1600fcff,1
190,190,0,8,fc000600,1
191,191,0,8,fc000600,1
192,192,0,0,06001600,1
193,193,0,0,e6fff6ff,1
194,194,0,8,fcfff6ff,1
195,195,0,0,16000600,1
196,196,0,2,0600fc00,1
197,197,0,2,0600fc00,1
198,198,0,2,f6fffc00,1
199,199,0,2,0600fcff,1
200,200,0,0,f6ff1600,1
201,201,0,2,1600fcff,1
202,202,0,8,fcfff6ff,1
203,203,0,0,f6ff0600,1
204,204,0,2,f6fffcff,1
205,205,0,2,0600fcff,1
206,206,0,2,f6fffc00,1
207,207,0,2,1600fcff,1
208,208,0,0,16000600,1
209,209,0,8,fc000600,1
210,210,0,0,0600f6ff,1
211,211,0,8,fcfff6ff,1
212,212,0,8,fcfff6ff,1
213,213,0,8,fc000600,1
214,214,0,0,f6ff1600,1
215,215,0,8,fc001600,1
216,216,0,0,06001600,1
217,217,0,0,2600f6ff,1
218,218,0,0,16000600,1
219,219,0,2,f6fffc00,1
220,220,0,8,fc000600,1
221,221,0,0,06002600,1
222,222,0,2,1600fc00,1
223,223,0,0,0600f6ff,1
224,224,0,0,f6ff1600,1
225,225,0,0,f6ff0600,1
226,226,0,0,f6ff0600,1
227,227,0,8,fc000600,1
228,228,0,0,f6ff0600,1
229,229,0,8,fc000600,1
230,230,0,0,0600f6ff,1
231,231,0,8,7cfff6ff,1
232,232,0,0,1600f6ff,1
233,233,0,8,fc000600,1
234,234,0,0,1600f6ff,1
235,235,0,0,26000600,1
236,236,0,2,f6fffc00,1
237,237,0,2,0600fcff,1
238,238,0,0,f6ff2600,1
239,239,0,0,06001600,1
240,240,0,0,f6ff1600,1
241,241,0,0,06001600,1
242,242,0,2,0600fc00,1
243,243,0,0,06002600,1
244,244,0,0,1600f6ff,1
245,245,0,0,06002600,1
246,246,0,0,1600f6ff,1
247,247,0,2,0600fc00,1
248,248,0,0,0600f6ff,1
249,249,0,2,0600fc00,1
