Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc1_b1_1[15:0],u3_adc_analysis/adc1_b2_1[15:0],u3_adc_analysis/adc1_b3_1[15:0],u3_adc_analysis/adc1_b4_1[15:0],u3_adc_analysis/adc1_b1_2[15:0],u3_adc_analysis/adc1_b2_2[15:0],u3_adc_analysis/adc1_b3_2[15:0],u3_adc_analysis/adc1_b4_2[15:0],u3_adc_analysis/time_8s_1
0,0,0,24926,24724,24536,24386,24042,23798,23482,23222,12,4,4,26,-4,4,20,10,0
1,1,0,22794,22484,22080,21710,21220,20812,20314,19868,-4,20,4,-24,12,20,20,42,0
2,2,0,19256,18740,18192,17642,17022,16370,15814,15122,12,20,4,10,-4,-14,-14,10,0
3,3,0,14474,13816,13180,12456,11656,10912,10216,9452,-4,4,-30,10,-4,-14,20,42,0
4,4,0,8670,7914,7160,6368,5564,4738,3968,3146,28,4,4,42,-4,-14,4,58,0
5,5,0,2342,1492,716,-90,-968,-1740,-2498,-3362,28,4,4,26,28,36,4,10,0
6,6,0,-4208,-5010,-5778,-6606,-7346,-8120,-8910,-9676,12,36,36,10,-48,-14,20,-8,0
7,7,0,-10388,-11094,-11848,-12592,-13284,-13960,-14708,-15338,28,20,4,10,12,4,4,26,0
8,8,0,-15922,-16538,-17166,-17808,-18310,-18926,-19458,-19992,28,-30,20,-8,-4,-14,-14,10,0
9,9,0,-20442,-20958,-21486,-21940,-22232,-22670,-23084,-23454,28,-30,4,10,28,-14,-14,-24,0
10,10,0,-23682,-24022,-24318,-24622,-24758,-24922,-25168,-25424,-4,-14,4,-8,12,4,20,-24,0
11,11,0,-25440,-25568,-25678,-25796,-25728,-25760,-25780,-25796,-64,-30,4,10,-32,20,-14,10,0
12,12,0,-25616,-25552,-25440,-25328,-25120,-24890,-24758,-24558,28,4,-14,26,-4,-14,20,-8,0
13,13,0,-24194,-23958,-23686,-23356,-22892,-22558,-22180,-21796,12,4,20,26,-4,-14,4,-24,0
14,14,0,-21216,-20820,-20356,-19762,-19212,-18724,-18036,-17550,-4,20,-30,26,-32,4,20,42,0
15,15,0,-16912,-16328,-15670,-15016,-14302,-13618,-12948,-12198,60,4,-14,26,-4,4,20,10,0
16,16,0,-11492,-10738,-9962,-9234,-8454,-7716,-6860,-6098,-48,4,4,26,12,20,20,26,0
17,17,0,-5308,-4498,-3654,-2888,-2110,-1270,-420,376,28,-14,20,26,-32,-14,4,10,0
18,18,0,1204,1966,2830,3664,4390,5212,6016,6740,12,4,20,-24,-4,-14,4,10,0
19,19,0,7520,8266,9070,9826,10552,11200,12016,12766,-4,4,20,58,28,4,4,42,0
20,20,0,13364,14018,14784,15398,15946,16532,17198,17802,-4,36,-14,10,-48,20,20,10,0
21,21,0,18306,18788,19400,19916,20360,20828,21278,21742,28,20,36,26,-4,20,36,10,0
22,22,0,22076,22468,22842,23222,23440,23750,24054,24354,-48,4,20,-8,28,36,-30,10,0
23,23,0,24536,24660,24958,25086,25198,25294,25376,25508,12,4,-14,10,-4,-14,4,26,0
24,24,0,25470,25454,25472,25476,25374,25278,25200,25086,12,-14,20,10,-48,20,20,10,0
25,25,0,24926,24692,24536,24354,24042,23766,23466,23222,12,36,-30,10,-4,20,20,-8,0
26,26,0,22832,22452,22080,21710,21220,20796,20298,19834,12,4,-30,-8,-4,4,4,26,0
27,27,0,19288,18708,18224,17658,16974,16388,15846,15154,-4,20,4,10,-48,4,-14,-8,0
28,28,0,14506,13832,13132,12440,11688,10912,10232,9452,12,-14,20,10,-32,36,20,-40,0
29,29,0,8686,7914,7144,6352,5580,4770,3968,3164,12,-30,4,10,12,-14,-30,26,0
