Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac1_int/syncb_logic,sysref_logic,sysref_o,u_ila_3_tx_aresetn
50,50,0,1fc096f193c1b8fb9fc4f50531c90c102acfba1964d6be22aededf2ad3e7e731,0,1,0,0,1
51,51,0,5333fce9912cafe0ab242ed8d51bb2d048126dca430887c509fe20c2dbf34fc0,0,1,0,0,1
52,52,0,ece94833caf3bc38f7fdbb3c32082d3f37120040c51b303f9d24c13c852cc438,0,1,0,0,1
53,53,0,a7f121c0e3e74dc0bdde1cc271d680c536cf64ca3ac9a7d0a6c420d897c19fe0,0,1,0,0,1
54,54,0,1c2eb1379934f231be39ec2a683dcd227f3fc919f63f1d10ca3e0706023cc9fb,0,1,0,0,1
55,55,0,21c19be206c00dec8fc001f6b8c2380073c66d0aa7cb5d1432d2c81dead97026,0,1,0,0,1
56,56,0,303b8af98c3677ef8230d1e53a29d6dce420c1d4b617c8cdec0d19c8c803d8c3,0,1,0,0,1
57,57,0,bfdb37289fe4a42f34eed9353cf8ad3a7802003ea40cbd3f7c16d83fc21f503e,0,1,0,0,1
58,58,0,88011cc34ef7bfc04ded00c0c7e3e5c0fada68c31fd378c76bccfbcc09c7ccd3,0,1,0,0,1
59,59,0,b121c33df1294b3a1d3156350837022f8a3b7b27853ef01ee73f9b15a63fb80b,0,1,0,0,1
60,60,0,0bc674d575c29fdd71c0ade60fc060f050c17afa2bc4b8048fc8d70e5fce9418,0,1,0,0,1
61,61,0,5f3f7f09223d47ff543914f50f3429eb742dc6e1af2529d9f31c8bd179131ecb,0,1,0,0,1
62,62,0,d3cfa51a29d796238bdf9d2bc2e8873291f22638b9fc543cf606f73e0511fd3f,0,1,0,0,1
63,63,0,5111e2c9440720c507fde0c1def238c00be931c0cfdfcdc165d701c506d0b8c9,0,1,0,0,1
64,64,0,2e13fe3fac1c053f6f256e3c3c2d4b38e133b7323139d72b0b3dd723543fec1a,0,1,0,0,1
65,65,0,90cef2cab7c856d147c4ebd860c181e112c0dfea68c0c7f45fc2f9feeac53209,0,1,0,0,1
66,66,0,9d3fdd18eb3f230f963e0605a73bc8fa3037acf05031f5e62c2ae2ddf421aed5,0,1,0,0,1
67,67,0,e5c66a0b3dcc5115e7d2ab1ebada3d2781e3cd2e02ed2a3500f72b3a3901ae3d,0,1,0,0,1
68,68,0,062005d4c6162acdf10c9dc7c70282c38af8f3c07fee01c0e6e4b3c000dc04c3,0,1,0,0,1
69,69,0,79033e3ea00dd23f6d17c43fa020143efe28cc3a4f3003366336d82f123b7428,0,1,0,0,1
70,70,0,29dabdc369d2f3c7d4cb98cd95c687d4cfc294dc9ac089e504c02cef12c13cf9,0,1,0,0,1
71,71,0,e73baf26bb3e0e1ef33fa814893fba0a7e3d8600df394ff6c63457ec522ee1e2,0,1,0,0,1
72,72,0,85c17bfb89c4b80512c9d10f03cf811935d68b227adeb22a9ae7c1315af18a37,0,1,0,0,1
73,73,0,bd2ce4e0dd245ed80c1cdcd083128fca8008a0c546fe30c217f455c036ea1cc0,0,1,0,0,1
74,74,0,8ef39f38bafda83cf607233ffd1100408e1b393f6b24d43c582ce03824337733,0,1,0,0,1
75,75,0,1ce847c0f1de0cc2a0d667c55dcf42ca5ac97ed0bdc4f1d7a4c16ae025c0b3e9,0,1,0,0,1
76,76,0,76341832a3391a2b563d0023773f011af83f5810d63e4406173c06fccf37e2f1,0,1,0,0,1
77,77,0,08c0d3eb87c0c5f5a7c2fbff58c6300a84cb231407d2921db8d93f2664e2f12d,0,1,0,0,1
78,78,0,ac36b3efaa3009e6692909dd1821efd4ef17eecd280e37c80504edc3c7f92cc1,0,1,0,0,1
79,79,0,68e47b2ff9edb83500f8943a3b02f13d680cb83f4316dc3f8c1f5e3e0728473b,0,1,0,0,1
80,80,0,8bf7c9c088ed00c0fee3dbc02cdb54c34bd35bc78fccd6cc25c7a0d32fc38cdb,0,1,0,0,1
81,81,0,c229653af6307735e9362c2f733bab27783e261fe43fd415ac3ff40bd33dc501,0,1,0,0,1
82,82,0,85c26cdd79c074e60cc025f043c13dfa16c47b0471c89b0e38ce5c1846d57d21,0,1,0,0,1
83,83,0,343d85ff6f3951f5323463eb9f2dfce1e0255ad9291db6d1b31341cbbc0925c6,0,1,0,0,1
84,84,0,fad6632356df702b89e8613255f208387cfc3f3cb906ec3eca10fb3f6d1a683f,0,1,0,0,1
85,85,0,810738c544fdefc11af33dc044e92dc004e0bfc195d7eac42fd098c903caaacf,0,1,0,0,1
86,86,0,761c0f3f3d25823c112d6838bd33dc321639032cf83c0a244b3f241bff3f8c11,0,1,0,0,1
87,87,0,d6c82cd15dc4bbd86cc14be115c0a5ea62c08bf44fc2bcfed1c5f508d0caf312,0,1,0,0,1
88,88,0,ee3f5e0fa33e4305bd3b05fb4f37e8f077312de75a2a16de2722dcd51519b7ce,0,1,0,0,1
89,89,0,19cc1715bcd2751e88da0c274ae3a32ec8ec0835c4f6113afc009e3d2e0b963f,0,1,0,0,1
90,90,0,ff1650cd2d0dbac7040396c3c7f8fdc0baee02c01ee5aac032dcf2c231d4cac6,0,1,0,0,1
91,91,0,640dce3f3417c93f6b20223ecf28e43a2630243642360130fa3aa328303e3b20,0,1,0,0,1
92,92,0,94d2d5c7f8cb72cdb1c65bd4e1c261dca2c051e503c0f0ee07c1fff8a8c33c03,0,1,0,0,1
93,93,0,ae3e441ef13fe114903ff60a8e3dc400f9398cf6e83492ec7c2e17e3df265ada,0,1,0,0,1
94,94,0,72c47b05f2c8950fdcce491907d6572246de842a61e79a311ff16b373dfbd13b,0,1,0,0,1
95,95,0,0f258ed8431c05d1bd12b0cabd08b9c583fe40c253f45bc070ea18c01ae178c1,0,1,0,0,1
96,96,0,7dfd943cb907193fc211ff3f571b433f3824e73c2c2cfc38ff329b338338e92c,0,1,0,0,1
97,97,0,26dffdc1ced64fc585cf21ca7ac955d0d4c4c1d7b2c135e029c079e942c052f3,0,1,0,0,1
98,98,0,8839472b453d33236f3f391afa3f9310e13e81062c3c43fced371ef23e3254e8,0,1,0,0,1
99,99,0,80c089f595c2bdff3ec6f40961cbe913ddd15b1d87d90e262ee2c62d98eb5334,0,1,0,0,1
100,100,0,d13041e697293cdd4d211cd5271815ce640e55c8420402c404fa38c1eeef0ac0,0,1,0,0,1
101,101,0,beed9635c3f77c3afe01e23d2b0cb23f0916e03f571f6c3ed7275e3b522fcc36,0,1,0,0,1
102,102,0,c2ed00c035e4d1c05edb41c377d33fc7b4ccb1cc41c774d343c35adbd2c031e4,0,1,0,0,1
103,103,0,ce309935c936552f5d3bdb276b3e5b1fe03f0e16b23f300ce33d02027e3ac7f7,0,1,0,0,1
104,104,0,80c03ce60ac0e9ef37c100fa00c43d0452c85f0e12ce231818d5492138dd9429,0,1,0,0,1
105,105,0,8a398df556349debca2d32e211268bd9601de0d1ed1363cbf80940c6c2ff97c2,0,1,0,0,1
106,106,0,22df432b50e83c321af2ea373efc2b3c7c06e03e8f10fa3f351a703f3023463d,0,1,0,0,1
107,107,0,82fdfec156f342c07ee928c039e0b1c1c4d7d2c458d077c924ca82cf50c5cbd6,0,1,0,0,1
108,108,0,0b25963ce52c853899330233fa38302ce63c3c24423f5b1b0040c6111a3fbd07,0,1,0,0,1
109,109,0,74c48ad879c115e119c06bea5bc04ef43fc27efeb7c5b808aecab91202d13f1c,0,1,0,0,1
110,110,0,af3e8005d33b42fb6e3723f19d3166e7882a4ade5b220bd64e19dfce9a0ff5c8,0,1,0,0,1
111,111,0,91d23f1e56dadc2613e3792e8dece63487f6f739bf008d3df20a8f3fdd14f13f,0,1,0,0,1
112,112,0,680dd7c74103aac304f908c1f5ee03c056e5a2c065dce0c25ed4aec675cdf5cb,0,1,0,0,1
