Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc2_b1_1[15:0],u3_adc_analysis/adc2_b2_1[15:0],u3_adc_analysis/adc2_b3_1[15:0],u3_adc_analysis/adc2_b4_1[15:0],u3_adc_analysis/adc2_b1_2[15:0],u3_adc_analysis/adc2_b2_2[15:0],u3_adc_analysis/adc2_b3_2[15:0],u3_adc_analysis/adc2_b4_2[15:0],u3_adc_analysis/time_8s_2
82,82,0,-11094,-10332,-9598,-8826,-8026,-7298,-6452,-5682,-30,20,16,-18,-30,-12,0,16,0
83,83,0,-4890,-4054,-3268,-2422,-1626,-772,46,818,-30,4,0,0,-46,-12,-34,-18,0
84,84,0,1610,2458,3298,4072,4826,5688,6468,7240,-14,-12,0,-18,-14,-12,16,0,0
85,85,0,7960,8726,9490,10254,10970,11686,12450,13120,-30,44,-34,16,18,-12,16,-34,0
86,86,0,13770,14480,15168,15788,16342,16954,17600,18156,-14,20,0,-34,-30,-12,16,-18,0
87,87,0,18628,19196,19708,20224,20660,21166,21608,22054,-46,-28,0,-18,2,28,-34,16,0
88,88,0,22330,22748,23090,23484,23662,24026,24260,24560,18,44,-34,0,2,4,16,-34,0
89,89,0,24678,24896,25048,25256,25284,25482,25526,25602,2,-12,-50,0,-30,4,16,-18,0
90,90,0,25546,25598,25598,25586,25412,25322,25270,25110,-30,4,-34,32,2,-12,-18,-18,0
91,91,0,24884,24688,24484,24292,23960,23728,23392,23108,-14,4,-18,16,-30,-28,-66,0,0
92,92,0,22648,22312,21928,21474,21034,20544,20098,19614,-14,-12,-18,16,-30,4,-34,16,0
93,93,0,19034,18466,17970,17402,16740,16126,15514,14892,18,4,0,-18,-30,4,-18,0,0
94,94,0,14090,13488,12772,12118,11290,10542,9826,9098,2,20,-34,16,2,-12,16,32,0
95,95,0,8326,7520,6752,5980,5130,4318,3522,2734,2,4,0,0,-14,-12,0,16,0
96,96,0,1944,1066,222,-506,-1386,-2188,-3014,-3840,2,-28,32,-18,-14,4,0,16,0
97,97,0,-4578,-5458,-6274,-7018,-7780,-8574,-9372,-10118,2,4,0,0,-46,44,-34,-34,0
98,98,0,-10822,-11588,-12354,-13010,-13722,-14422,-15084,-15740,-30,4,0,32,-14,44,-34,-18,0
99,99,0,-16314,-16938,-17580,-18172,-18742,-19240,-19916,-20304,-30,20,16,16,18,4,32,0,0
100,100,0,-20802,-21206,-21770,-22136,-22544,-22966,-23356,-23706,-30,-12,0,32,-30,-12,0,-18,0
101,101,0,-23932,-24240,-24592,-24780,-24936,-25142,-25394,-25580,2,-12,32,-18,2,-28,16,0,0
102,102,0,-25586,-25708,-25820,-25894,-25794,-25836,-25852,-25758,-30,-12,32,32,2,-12,32,0,0
103,103,0,-25618,-25580,-25506,-25304,-25074,-24902,-24710,-24470,-30,4,-18,-18,-14,4,16,-18,0
104,104,0,-24084,-23866,-23564,-23236,-22750,-22330,-22056,-21550,-14,4,0,0,-14,4,-34,0,0
105,105,0,-21034,-20502,-20174,-19556,-18998,-18424,-17820,-17254,-14,-12,-18,-18,2,4,0,0,0
106,106,0,-16616,-15956,-15374,-14690,-13930,-13272,-12594,-11864,2,4,-18,16,2,4,-18,0,0
107,107,0,-11126,-10368,-9598,-8842,-8042,-7298,-6500,-5714,2,4,-34,-18,34,-12,0,0,0
108,108,0,-4874,-4054,-3284,-2438,-1610,-848,14,802,-14,-12,32,-18,2,-12,32,32,0
109,109,0,1658,2442,3282,4072,4858,5656,6484,7224,18,-12,-34,16,-14,4,-34,-18,0
110,110,0,7976,8758,9522,10222,10950,11718,12450,13088,-14,-12,0,-18,-30,-28,0,0,0
111,111,0,13770,14496,15184,15740,16326,16986,17600,18124,18,-12,-34,-18,18,-12,-34,16,0
112,112,0,18628,19212,19756,20192,20660,21166,21608,21944,-30,44,0,-18,-14,-12,0,32,0
113,113,0,22314,22748,23150,23452,23662,24042,24276,24528,-46,4,-18,-18,-30,4,16,0,0
114,114,0,24662,24928,25048,25224,25300,25418,25526,25586,-30,-28,0,0,2,-12,0,0,0
115,115,0,25530,25530,25558,25520,25396,25338,25220,25094,-30,-12,-18,-18,-30,20,-18,0,0
116,116,0,24900,24688,24468,24276,23976,23680,23408,23092,-14,-12,0,16,-14,-12,16,0,0
117,117,0,22648,22312,21896,21490,21018,20544,20082,19598,2,4,-18,16,2,-12,0,-18,0
118,118,0,19018,18450,17970,17370,16740,16094,15498,14860,18,4,16,0,-30,-12,0,-18,0
119,119,0,14122,13472,12756,12086,11258,10510,9826,9082,-14,-12,32,16,2,4,-34,0,0
120,120,0,8278,7488,6708,5964,5130,4334,3522,2718,2,-28,16,-18,18,-44,16,0,0
121,121,0,1850,1066,254,-506,-1418,-2236,-3014,-3840,18,4,0,16,-30,20,-34,32,0
122,122,0,-4658,-5476,-6274,-7018,-7818,-8590,-9356,-10102,-30,4,32,0,2,20,-18,0,0
123,123,0,-10822,-11588,-12322,-13026,-13706,-14406,-15116,-15740,2,-28,-66,0,2,4,0,0,0
124,124,0,-16330,-16970,-17596,-18172,-18742,-19224,-19900,-20304,-14,-12,16,0,-30,-28,0,0,0
125,125,0,-20786,-21222,-21786,-22168,-22544,-22950,-23340,-23658,18,4,0,32,-14,4,16,0,0
126,126,0,-23932,-24256,-24528,-24796,-24968,-25158,-25378,-25532,-14,4,-50,32,2,-12,32,16,0
127,127,0,-25586,-25724,-25804,-25838,-25810,-25836,-25820,-25774,-14,4,-18,16,-14,-12,-18,32,0
128,128,0,-25650,-25580,-25442,-25320,-25058,-24902,-24726,-24470,-46,20,-18,16,-30,-28,16,0,0
129,129,0,-24132,-23850,-23564,-23268,-22814,-22346,-22056,-21550,-46,-12,16,32,2,-28,0,16,0
130,130,0,-21114,-20520,-20158,-19556,-18998,-18392,-17820,-17254,-14,-12,0,32,2,-28,0,-18,0
131,131,0,-16600,-15972,-15358,-14690,-13968,-13272,-12578,-11896,-30,-12,0,0,-14,4,16,16,0
132,132,0,-11142,-10316,-9582,-8858,-8042,-7266,-6484,-5714,2,4,-18,16,-46,4,0,16,0
133,133,0,-4858,-4038,-3252,-2470,-1610,-848,46,802,-14,-28,-18,-34,-14,-28,-34,16,0
134,134,0,1610,2458,3266,4056,4826,5688,6468,7208,-30,4,-34,-18,18,4,0,-18,0
135,135,0,7944,8726,9522,10222,10970,11686,12450,13072,18,4,-34,-18,2,20,16,16,0
136,136,0,13770,14480,15152,15756,16326,17002,17616,18098,2,-12,0,0,-46,4,-18,16,0
137,137,0,18644,19212,19740,20192,20628,21134,21558,21960,18,-12,-18,32,-30,44,0,48,0
138,138,0,22362,22764,23090,23484,23630,23994,24292,24528,2,-12,0,32,2,4,0,-18,0
139,139,0,24678,24912,25080,25192,25268,25434,25510,25552,2,-12,32,16,18,20,16,-18,0
140,140,0,25530,25598,25542,25488,25396,25354,25236,25078,-30,4,0,-34,18,20,-34,16,0
141,141,0,24868,24688,24484,24260,23944,23696,23376,23092,-46,4,-34,0,-46,-12,0,16,0
142,142,0,22632,22312,21928,21442,21002,20544,20066,19614,2,-12,0,-18,-14,4,0,-18,0
143,143,0,18986,18466,17938,17386,16740,16062,15498,14860,2,-12,0,0,-30,-12,32,0,0
144,144,0,14090,13472,12740,12070,11290,10526,9810,9082,18,20,16,0,2,20,16,-18,0
145,145,0,8294,7488,6752,5932,5098,4302,3506,2686,2,4,0,0,-14,4,0,0,0
146,146,0,1882,1034,270,-538,-1386,-2252,-3014,-3840,2,-44,-50,-34,2,4,-18,16,0
147,147,0,-4658,-5476,-6258,-7034,-7764,-8606,-9356,-10118,2,-44,16,0,-14,4,0,16,0
148,148,0,-10822,-11604,-12284,-13010,-13738,-14422,-15100,-15740,2,-28,16,16,2,-12,32,-34,0
149,149,0,-16330,-16954,-17612,-18156,-18758,-19240,-19932,-20304,18,-12,16,-18,-14,20,16,16,0
150,150,0,-20818,-21206,-21786,-22120,-22544,-22966,-23356,-23674,2,-28,0,0,2,4,32,-34,0
151,151,0,-23916,-24272,-24560,-24796,-24936,-25126,-25378,-25548,2,-12,16,-18,34,-12,0,0,0
152,152,0,-25554,-25708,-25786,-25838,-25826,-25820,-25836,-25790,-14,-12,0,0,2,-12,16,0,0
153,153,0,-25666,-25580,-25490,-25336,-25090,-24918,-24760,-24470,-14,20,-18,16,18,4,0,-18,0
154,154,0,-24116,-23850,-23564,-23268,-22782,-22330,-22072,-21534,18,44,0,-18,34,4,-18,0,0
155,155,0,-21114,-20536,-20126,-19572,-19014,-18408,-17820,-17286,2,4,0,0,-46,4,-34,0,0
156,156,0,-16648,-15972,-15326,-14672,-13984,-13240,-12562,-11864,-30,-28,16,0,2,-28,0,0,0
