Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc2_b1_1[15:0],u3_adc_analysis/adc2_b2_1[15:0],u3_adc_analysis/adc2_b3_1[15:0],u3_adc_analysis/adc2_b4_1[15:0],u3_adc_analysis/adc2_b1_2[15:0],u3_adc_analysis/adc2_b2_2[15:0],u3_adc_analysis/adc2_b3_2[15:0],u3_adc_analysis/adc2_b4_2[15:0],u3_adc_analysis/time_8s_2
224,224,0,-16298,-16954,-17612,-18172,-18726,-19208,-19932,-20336,-30,-12,16,-18,-46,4,0,-18,0
225,225,0,-20834,-21222,-21802,-22120,-22512,-22950,-23372,-23690,-14,-12,16,16,-14,4,0,-18,0
226,226,0,-23900,-24272,-24576,-24796,-24936,-25190,-25394,-25532,2,4,0,0,2,-12,0,-18,0
227,227,0,-25602,-25708,-25786,-25870,-25778,-25836,-25836,-25774,-14,4,-18,0,-30,-28,16,16,0
228,228,0,-25666,-25628,-25506,-25336,-25090,-24918,-24760,-24486,2,-12,16,16,-30,4,0,0,0
229,229,0,-24100,-23866,-23564,-23236,-22782,-22330,-22040,-21534,-14,4,0,0,2,4,16,0,0
230,230,0,-21050,-20536,-20174,-19572,-19030,-18424,-17804,-17270,2,20,-18,16,18,4,16,0,0
231,231,0,-16584,-15988,-15342,-14706,-13930,-13272,-12546,-11848,-14,44,0,16,18,-28,-18,16,0
232,232,0,-11110,-10332,-9582,-8842,-8010,-7282,-6484,-5730,-14,4,16,0,2,20,0,16,0
233,233,0,-4874,-4086,-3268,-2438,-1626,-832,46,802,-14,4,32,0,-14,-12,0,0,0
234,234,0,1626,2394,3282,4056,4874,5656,6436,7240,18,4,0,-34,-30,-12,0,-18,0
235,235,0,7992,8758,9554,10254,10954,11686,12466,13104,-14,4,-34,0,2,20,0,0,0
236,236,0,13786,14448,15152,15756,16358,16954,17600,18082,-14,4,0,32,-46,-12,-18,0,0
237,237,0,18612,19180,19724,20192,20628,21134,21574,21928,2,4,0,0,2,-12,-18,-34,0
238,238,0,22330,22748,23074,23468,23678,24026,24260,24512,18,4,-34,-18,34,-12,0,16,0
239,239,0,24694,24848,25064,25224,25316,25418,25542,25568,-14,4,16,32,2,28,32,-18,0
240,240,0,25546,25582,25566,25520,25364,25286,25252,25110,-14,-44,16,32,-14,4,16,0,0
241,241,0,24868,24672,24484,24244,23960,23680,23408,23108,-46,-28,-18,16,-14,-12,32,16,0
242,242,0,22632,22296,21912,21458,21002,20528,20062,19582,2,4,0,-18,34,-12,-18,-18,0
243,243,0,19018,18466,17906,17386,16740,16094,15498,14860,2,20,16,16,-30,-12,0,32,0
244,244,0,14122,13472,12740,12102,11306,10526,9810,9082,-30,-12,0,0,-14,-12,0,16,0
245,245,0,8294,7488,6752,5948,5114,4286,3522,2718,-14,20,-34,0,18,4,-34,-18,0
246,246,0,1896,1050,254,-570,-1418,-2220,-3014,-3824,34,4,16,-18,-30,4,16,32,0
247,247,0,-4658,-5458,-6274,-7018,-7780,-8622,-9356,-10086,2,4,16,0,2,20,-34,-34,0
248,248,0,-10838,-11588,-12354,-13010,-13690,-14438,-15100,-15708,-30,44,0,-34,2,-44,-34,0,0
249,249,0,-16314,-16970,-17596,-18140,-18726,-19256,-19932,-20272,2,-12,0,0,-14,-28,16,16,0
250,250,0,-20802,-21222,-21770,-22120,-22512,-22950,-23356,-23706,18,4,0,16,2,4,16,16,0
251,251,0,-23916,-24256,-24544,-24764,-24936,-25158,-25410,-25516,-14,4,0,-18,2,4,0,0,0
252,252,0,-25554,-25708,-25804,-25806,-25810,-25820,-25836,-25774,18,-12,64,-34,2,44,0,-34,0
253,253,0,-25650,-25580,-25458,-25304,-25032,-24902,-24710,-24470,18,-12,-34,0,2,44,16,-18,0
