Sample in Buffer,Sample in Window,TRIGGER,u2_adc_top/u3_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u3_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u4_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u4_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u2_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u2_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],adc1_sync,adc2_sync,adc3_sync,adc4_sync
0,0,0,8,fcfff4ff,6fbb1bca,0,e7c4203c,0,0,257e2cf2,1,1,1,0
1,1,0,0,e4ff1400,bbee9ffa,8,fc62d070,0,0,cd00ea72,1,1,1,0
2,2,0,0,f4ff1400,64418ab8,1,1e4c2d76,0,0,2d20f86e,1,1,1,0
3,3,0,8,fc001400,ab02245a,8,d1d8e486,0,0,e65a23fe,1,1,1,0
4,4,0,8,fc000400,b8ed5b46,8,2e3eff42,0,0,fb0ecef0,1,1,1,0
5,5,0,0,3400e4ff,8a1a4a5a,0,e23e1c44,0,0,201c2f68,1,1,1,0
6,6,0,0,04001400,4feafdbb,3,0228d24a,0,0,ce1ae49c,1,1,1,0
7,7,0,0,24001400,49bbbebb,4,19342f52,0,0,30cefeec,1,1,1,0
8,8,0,0,1400f4ff,ea8a22e0,1,d304e0c8,0,0,e1181e62,1,1,1,0
9,9,0,2,0400fc00,20218828,4,2f600548,0,0,01cccf6c,1,1,1,0
10,10,0,8,fc001400,88220b09,8,ddb816f2,0,0,1b4231b4,1,1,1,0
11,11,0,0,14000400,692b8a12,0,08c0d48e,0,0,d016dfa0,1,1,1,0
12,12,0,0,2400f4ff,f2905d20,0,14623026,0,0,311a05e2,1,1,1,0
13,13,0,0,e4ff0400,22042209,0,d678db20,0,0,dcae18c2,1,1,1,0
14,14,0,2,2400fcff,8822825f,0,30680b18,0,0,080ad2a8,1,1,1,0
15,15,0,0,0400e4ff,28880ba8,4,d97811a2,0,0,15c23268,1,1,1,0
16,16,0,2,1400fc00,8808e388,0,0ed6d78c,0,0,d370daaa,1,1,1,0
17,17,0,2,2400fc00,c75d02dd,0,0ec23084,0,0,338e0b8a,1,1,1,0
18,18,0,0,d4ff1400,5da28822,1,d9e6d784,0,0,d8da1232,1,1,1,0
19,19,0,0,14002400,8808285d,0,307811ac,0,0,0e8ad508,1,1,1,0
20,20,0,0,34000400,1c5da822,0,d6780ba2,0,0,0f223394,1,1,1,0
21,21,0,0,0400f4ff,205f286a,0,1488db48,0,0,d73ad6e4,1,1,1,0
22,22,0,8,fc001400,58ea5d58,0,08723010,0,0,336a1178,1,1,1,0
23,23,0,8,fc000400,5fea5789,0,ddc0d476,0,0,d4060d32,1,1,1,0
24,24,0,8,fc001400,2820ea01,8,2ff816c6,0,0,144ed99a,1,1,1,0
25,25,0,0,14002400,52809888,0,d37005e2,0,0,09f2327a,1,1,1,0
26,26,0,8,fcfff4ff,88ef0888,0,19f4df38,0,0,dbead2e8,1,1,1,0
27,27,0,0,f4ff0400,5f88e9e3,0,02242f88,0,0,32581780,1,1,1,0
28,28,0,0,f4ff0400,0c227c7f,2,e248d252,0,0,d1a80682,1,1,1,0
29,29,0,2,1400fcff,132802a8,0,2e1e1c4a,0,0,1ae8dd72,1,1,1,0
30,30,0,0,04002400,e73da888,0,d19cff64,0,0,03823140,1,1,1,0
31,31,0,0,0400f4ff,8ba2088c,0,1ef8e432,0,0,e02cd092,1,1,1,0
32,32,0,0,24001400,44424abb,0,fc7c2db6,0,0,30f81c56,1,1,1,0
33,33,0,0,0400e4ff,986bafaf,6,e782d066,0,0,cffeffe2,1,1,1,0
34,34,0,0,14002400,098952ba,1,2cd4208e,0,0,1f2ae34c,1,1,1,0
35,35,0,0,f4ffd4ff,b6bbba8a,f,cf1ef94c,0,0,fcbc2f76,1,1,1,0
36,36,0,0,2400e4ff,ef635d4e,0,234eeaa4,0,0,e53ecee0,1,1,1,0
37,37,0,0,e4fff4ff,24f89840,0,f6ce2a32,0,0,2ef42182,1,1,1,0
38,38,0,0,24000400,ac69eabb,8,ed64cf60,0,0,cde2f99c,1,1,1,0
39,39,0,0,0400f4ff,90bb4a57,0,29382504,0,0,2450e8ae,1,1,1,0
40,40,0,8,fcfff4ff,f25f984a,0,cf30f35e,0,0,f62e2d92,1,1,1,0
41,41,0,0,04001400,a3266ab9,9,27aaef44,0,0,eb5ecd62,1,1,1,0
42,42,0,8,fcfff4ff,ea0f644a,0,f07e2720,0,0,2b622642,1,1,1,0
43,43,0,0,0400d4ff,3dcc7be4,0,f254cf4a,0,0,cc42f3c6,1,1,1,0
44,44,0,0,f4ff1400,cbcfddea,1,25ae2880,0,0,282eeefe,1,1,1,0
45,45,0,8,fc000400,0a66c258,0,cf64eda0,0,0,f0e02990,1,1,1,0
46,46,0,0,24000400,aefdac58,e,2a88f5fc,1,0,f1decc1c,1,1,1,0
47,47,0,0,f4ff1400,abeb4cb3,9,ea82238e,0,0,28a62a12,1,1,1,0
48,48,0,8,fc000400,444497be,1,f8a4cfbe,0,0,cd4eed40,1,1,1,0
49,49,0,0,04001400,ae8a52ab,9,21d42b9e,0,0,2c2af40e,1,1,1,0
50,50,0,2,1400fc00,f78a3e6f,e,d0fee77a,0,0,eab2254e,1,1,1,0
51,51,0,0,1400d4ff,bbbbd878,4,2db6fb62,0,0,f76ecd76,1,1,1,0
52,52,0,0,1400f4ff,4c46a35a,2,e5161f2c,0,0,23be2db0,1,1,1,0
53,53,0,8,fc000400,49449a8b,0,fe22d178,0,0,cd80e78a,1,1,1,0
54,54,0,0,0400e4ff,43a6bb5c,7,1c542ede,0,0,2ef8face,1,1,1,0
55,55,0,8,fc001400,8ce9a022,0,d2dae29e,0,0,e41c21dc,1,1,1,0
56,56,0,0,04003400,6728880b,2,2fd20118,0,0,fdacceb2,1,1,1,0
