Sample in Buffer,Sample in Window,TRIGGER,u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],adc1_sync
0,0,0,2,d8fffcff,1
1,1,0,0,f8ffe8ff,1
2,2,0,0,f8ffe8ff,1
3,3,0,0,e8ff1800,1
4,4,0,8,fc000800,1
5,5,0,8,fc000800,1
6,6,0,8,fcfff8ff,1
7,7,0,8,fcfff8ff,1
8,8,0,0,18000800,1
9,9,0,0,2800f8ff,1
10,10,0,0,0800f8ff,1
11,11,0,8,fcfff8ff,1
12,12,0,0,0800d8ff,1
13,13,0,2,d8fffc00,1
14,14,0,8,fcfff8ff,1
15,15,0,8,fc001800,1
16,16,0,0,f8ff0800,1
17,17,0,8,fc000800,1
18,18,0,8,fcfff8ff,1
19,19,0,0,08002800,1
20,20,0,2,0800fc00,1
21,21,0,0,0800e8ff,1
22,22,0,0,28001800,1
23,23,0,0,0800f8ff,1
24,24,0,2,f8fffc00,1
25,25,0,8,fc000800,1
26,26,0,8,fcfff8ff,1
27,27,0,0,38001800,1
28,28,0,0,0800f8ff,1
29,29,0,0,f8ff1800,1
30,30,0,0,f8ff0800,1
31,31,0,8,fc000800,1
32,32,0,8,fcfff8ff,1
33,33,0,0,f8ffe8ff,1
34,34,0,8,fc000800,1
35,35,0,0,28001800,1
36,36,0,0,f8ff0800,1
37,37,0,0,f8ff1800,1
38,38,0,0,f8ff0800,1
39,39,0,2,1800fcff,1
40,40,0,8,fcffe8ff,1
41,41,0,8,fc000800,1
42,42,0,0,0800f8ff,1
43,43,0,0,1800f8ff,1
44,44,0,2,0800fc00,1
45,45,0,8,fcfff8ff,1
46,46,0,0,e8ff2800,1
47,47,0,8,fcfff8ff,1
48,48,0,0,f8ffe8ff,1
49,49,0,0,e8ff0800,1
50,50,0,8,fcfff8ff,1
51,51,0,8,fc000800,1
52,52,0,8,fcfff8ff,1
53,53,0,8,fcfff8ff,1
54,54,0,0,f8ff0800,1
55,55,0,2,0800fcff,1
56,56,0,2,0800fc00,1
57,57,0,2,0800fc00,1
58,58,0,8,fcfff8ff,1
59,59,0,0,0800f8ff,1
60,60,0,0,e8ff1800,1
61,61,0,8,fc000800,1
62,62,0,2,f8ff7c00,1
63,63,0,2,f8fffcff,1
64,64,0,2,0800fcff,1
65,65,0,2,e8fffc00,1
66,66,0,8,fcfff8ff,1
67,67,0,0,0800f8ff,1
68,68,0,2,0800fc00,1
69,69,0,0,e8fff8ff,1
70,70,0,0,f8ff2800,1
71,71,0,0,f8ff0800,1
72,72,0,0,0800d8ff,1
73,73,0,0,1800f8ff,1
74,74,0,0,0800f8ff,1
75,75,0,0,e8fff8ff,1
76,76,0,8,fcfff8ff,1
77,77,0,0,f8ff0800,1
78,78,0,2,f8fffcff,1
79,79,0,2,1800fcff,1
80,80,0,0,f8ffe8ff,1
81,81,0,2,1800fcff,1
82,82,0,0,f8ff0800,1
83,83,0,8,fc000800,1
84,84,0,0,0800d8ff,1
85,85,0,0,0800f8ff,1
86,86,0,2,f8fffc00,1
87,87,0,0,0800e8ff,1
88,88,0,8,fcfff8ff,1
89,89,0,0,f8ffe8ff,1
90,90,0,2,f8fffcff,1
91,91,0,2,f8fffcff,1
92,92,0,0,1800d8ff,1
93,93,0,0,f8ffe8ff,1
94,94,0,0,f8ff1800,1
95,95,0,2,2800fcff,1
96,96,0,0,1800f8ff,1
97,97,0,0,0800e8ff,1
98,98,0,2,e8fffc00,1
99,99,0,2,0800fcff,1
100,100,1,0,08001800,1
101,101,0,0,0800f8ff,1
102,102,0,2,0800fc00,1
103,103,0,2,0800fc00,1
104,104,0,2,e8fffc00,1
105,105,0,2,f8fffcff,1
106,106,0,0,d8ff1800,1
107,107,0,0,0800f8ff,1
108,108,0,0,0800f8ff,1
109,109,0,0,08001800,1
110,110,0,0,d8ffe8ff,1
111,111,0,0,f8ff0800,1
112,112,0,0,f8ff0800,1
113,113,0,2,f8fffcff,1
114,114,0,8,fc000800,1
115,115,0,8,fcfff8ff,1
116,116,0,8,fc000800,1
117,117,0,0,0800f8ff,1
118,118,0,0,f8ffe8ff,1
119,119,0,0,f8ff0800,1
120,120,0,2,f8fffcff,1
121,121,0,0,08002800,1
122,122,0,0,f8ffe8ff,1
123,123,0,0,d8ff0800,1
124,124,0,0,0800f8ff,1
125,125,0,2,f8fffc00,1
126,126,0,8,fcffe8ff,1
127,127,0,0,e8fff8ff,1
128,128,0,0,e8fff8ff,1
129,129,0,0,0800f8ff,1
130,130,0,2,0800fc00,1
131,131,0,0,f8ffe8ff,1
132,132,0,0,0800e8ff,1
133,133,0,8,fcfff8ff,1
134,134,0,0,0800f8ff,1
135,135,0,0,0800f8ff,1
136,136,0,2,2800fc00,1
137,137,0,0,0800f8ff,1
138,138,0,0,0800f8ff,1
139,139,0,2,0800fc00,1
140,140,0,8,fcfff8ff,1
141,141,0,0,1800f8ff,1
142,142,0,8,fcffd8ff,1
143,143,0,0,f8ff0800,1
144,144,0,8,fcffe8ff,1
145,145,0,8,fcfff8ff,1
146,146,0,0,0800f8ff,1
147,147,0,8,fcfff8ff,1
148,148,0,0,e8ff1800,1
149,149,0,8,fcfff8ff,1
150,150,0,8,fc001800,1
151,151,0,0,1800f8ff,1
152,152,0,8,fcfff8ff,1
153,153,0,8,fcfff8ff,1
154,154,0,0,1800e8ff,1
155,155,0,0,f8ffe8ff,1
156,156,0,8,fc001800,1
157,157,0,0,0800f8ff,1
158,158,0,2,f8fffc00,1
159,159,0,0,f8ffe8ff,1
160,160,0,2,0800fcff,1
161,161,0,0,1800f8ff,1
162,162,0,0,18000800,1
163,163,0,0,2800f8ff,1
164,164,0,8,fcfff8ff,1
165,165,0,0,18000800,1
166,166,0,0,f8ff0800,1
167,167,0,0,0800e8ff,1
168,168,0,2,e8fffc00,1
169,169,0,2,d8fffcff,1
170,170,0,0,18000800,1
171,171,0,8,fc000800,1
172,172,0,0,f8ff1800,1
173,173,0,0,f8ffe8ff,1
174,174,0,8,fcffe8ff,1
175,175,0,0,e8fff8ff,1
176,176,0,2,0800fcff,1
177,177,0,0,f8ffe8ff,1
178,178,0,0,f8ff1800,1
179,179,0,2,0800fcff,1
180,180,0,0,e8fff8ff,1
181,181,0,0,d8ffc8ff,1
182,182,0,8,fc000800,1
183,183,0,0,1800e8ff,1
184,184,0,0,f8ff0800,1
185,185,0,2,e8fffcff,1
186,186,0,2,e8fffcff,1
187,187,0,0,28000800,1
188,188,0,0,2800f8ff,1
189,189,0,0,2800f8ff,1
190,190,0,0,0800f8ff,1
191,191,0,2,0800fc00,1
192,192,0,2,0800fc00,1
193,193,0,0,0800e8ff,1
194,194,0,2,f8fffc00,1
195,195,0,0,f8ff1800,1
196,196,0,8,fc000800,1
197,197,0,2,d8ff7c00,1
198,198,0,0,28000800,1
199,199,0,0,1800d8ff,1
200,200,0,0,f8ff0800,1
201,201,0,2,0800fcff,1
202,202,0,2,f8fffc00,1
203,203,0,2,e8fffcff,1
204,204,0,0,08001800,1
205,205,0,0,0800f8ff,1
206,206,0,8,fc001800,1
207,207,0,0,0800d8ff,1
208,208,0,2,f8fffc00,1
209,209,0,0,f8ff0800,1
210,210,0,0,e8ff0800,1
211,211,0,8,fcfff8ff,1
212,212,0,0,08001800,1
213,213,0,2,1800fc00,1
214,214,0,2,e8fffc00,1
215,215,0,8,fcfff8ff,1
216,216,0,8,fcfff8ff,1
217,217,0,8,fcfff8ff,1
218,218,0,0,e8fff8ff,1
219,219,0,2,f8fffcff,1
220,220,0,8,fc000800,1
221,221,0,8,fc000800,1
222,222,0,8,fcfff8ff,1
223,223,0,8,fcfff8ff,1
224,224,0,8,fcfff8ff,1
225,225,0,0,f8ff1800,1
226,226,0,2,1800fcff,1
227,227,0,8,fcfff8ff,1
228,228,0,0,f8ffe8ff,1
229,229,0,0,08002800,1
230,230,0,0,08001800,1
231,231,0,0,f8ffe8ff,1
232,232,0,8,fc000800,1
233,233,0,0,0800f8ff,1
234,234,0,0,f8ffe8ff,1
235,235,0,2,e8fffcff,1
236,236,0,8,fcfff8ff,1
237,237,0,0,0800e8ff,1
238,238,0,0,0800f8ff,1
239,239,0,8,fcffe8ff,1
240,240,0,0,f8ffe8ff,1
241,241,0,2,f8fffcff,1
242,242,0,2,f8ff7cff,1
243,243,0,2,f8fffcff,1
244,244,0,0,1800d8ff,1
245,245,0,0,28000800,1
246,246,0,8,fcfff8ff,1
247,247,0,8,fc000800,1
248,248,0,0,f8ff0800,1
249,249,0,2,e8fffcff,1
250,250,0,0,0800f8ff,1
251,251,0,8,fcfff8ff,1
252,252,0,0,0800f8ff,1
253,253,0,0,d8ffe8ff,1
254,254,0,0,f8ff0800,1
255,255,0,2,1800fcff,1
256,256,0,0,1800f8ff,1
257,257,0,8,fcfff8ff,1
258,258,0,8,fc000800,1
259,259,0,0,28000800,1
260,260,0,0,f8ff0800,1
261,261,0,2,0800fcff,1
262,262,0,0,1800f8ff,1
263,263,0,0,f8ff0800,1
264,264,0,0,f8ff0800,1
265,265,0,0,f8ff0800,1
266,266,0,0,e8ff2800,1
267,267,0,8,fcfff8ff,1
268,268,0,0,f8ffe8ff,1
269,269,0,0,f8ff0800,1
270,270,0,8,fc000800,1
271,271,0,0,0800f8ff,1
272,272,0,0,08001800,1
273,273,0,0,0800e8ff,1
274,274,0,2,0800fc00,1
275,275,0,2,e8fffc00,1
276,276,0,8,fc000800,1
277,277,0,8,fcfff8ff,1
278,278,0,0,1800f8ff,1
279,279,0,0,f8ffe8ff,1
280,280,0,0,08001800,1
281,281,0,8,fcffe8ff,1
282,282,0,0,f8ff0800,1
283,283,0,2,e8fffcff,1
284,284,0,8,fcfff8ff,1
285,285,0,8,fcfff8ff,1
286,286,0,0,e8fff8ff,1
287,287,0,8,fcfff8ff,1
288,288,0,0,e8fff8ff,1
289,289,0,8,fcfff8ff,1
290,290,0,8,fcfff8ff,1
291,291,0,0,18000800,1
292,292,0,2,0800fc00,1
293,293,0,2,f8fffc00,1
294,294,0,2,f8fffcff,1
295,295,0,8,fc000800,1
296,296,0,0,0800e8ff,1
297,297,0,2,0800fc00,1
298,298,0,0,f8ff1800,1
299,299,0,2,f8fffcff,1
300,300,0,8,fc000800,1
301,301,0,0,0800f8ff,1
302,302,0,0,e8ff1800,1
303,303,0,8,fcfff8ff,1
304,304,0,0,28000800,1
305,305,0,0,0800f8ff,1
306,306,0,8,fcfff8ff,1
307,307,0,0,f8ffe8ff,1
308,308,0,0,18000800,1
309,309,0,0,0800f8ff,1
310,310,0,0,0800f8ff,1
311,311,0,8,fcfff8ff,1
312,312,0,0,e8ff0800,1
313,313,0,0,f8ff0800,1
314,314,0,0,2800e8ff,1
315,315,0,8,fcfff8ff,1
316,316,0,8,fcfff8ff,1
317,317,0,0,f8ff0800,1
318,318,0,2,f8fffcff,1
319,319,0,0,e8ff0800,1
320,320,0,8,fcfff8ff,1
321,321,0,0,f8ff0800,1
322,322,0,0,f8ffe8ff,1
323,323,0,2,0800fcff,1
324,324,0,8,fcfff8ff,1
325,325,0,0,f8ff1800,1
326,326,0,2,f8fffcff,1
327,327,0,2,f8fffcff,1
328,328,0,0,e8ff0800,1
329,329,0,8,fcfff8ff,1
330,330,0,0,f8ff1800,1
331,331,0,0,08001800,1
332,332,0,0,0800e8ff,1
333,333,0,0,0800f8ff,1
334,334,0,8,fcfff8ff,1
335,335,0,0,0800f8ff,1
336,336,0,2,f8fffc00,1
337,337,0,0,f8ff0800,1
338,338,0,8,fc000800,1
339,339,0,0,e8fff8ff,1
340,340,0,0,f8ffd8ff,1
341,341,0,2,0800fcff,1
342,342,0,2,f8fffc00,1
343,343,0,0,f8ff2800,1
344,344,0,0,f8ff0800,1
345,345,0,2,f8fffcff,1
346,346,0,0,f8ff0800,1
347,347,0,0,08002800,1
348,348,0,0,28001800,1
349,349,0,0,0800f8ff,1
350,350,0,0,f8ff1800,1
351,351,0,0,18000800,1
352,352,0,0,18000800,1
353,353,0,0,08002800,1
354,354,0,0,f8ff1800,1
355,355,0,8,fc000800,1
356,356,0,0,0800f8ff,1
357,357,0,0,2800f8ff,1
358,358,0,0,0800f8ff,1
359,359,0,0,1800f8ff,1
