Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac4_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac4_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac4_int/tx_tdata[255:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac2_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac2_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac2_int/tx_tdata[255:0],int_dac_top/top_dac3_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac3_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac3_int/tx_tdata[255:0],int_dac_top/top_dac4_int/syncb_buf,int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac2_int/syncb_buf,int_dac_top/top_dac3_int/syncb_buf,int_dac_top/top_dac3_int/syncb_logic,int_dac_top/top_dac4_int/syncb_logic,int_dac_top/top_dac1_int/syncb_logic,int_dac_top/top_dac2_int/syncb_logic,sysref_logic,sysref_o,int_dac_top/top_dac1_int/tx_aresetn,int_dac_top/top_dac3_int/tx_aresetn,int_dac_top/top_dac2_int/tx_aresetn,int_dac_top/top_dac4_int/tx_aresetn
10,10,0,0,b83ffecf,0c2185055d308df1f23affdec43fabcf583e12c5d2363ec0ef29a6c1f31828c9,0,5a2f09f3,81f9b52a7e0de51929208b06af2f8ef28a3ae2dfab3f5ad0913e7bc5583757c0,0,41c03430,b3dec6fa72cfbd0ef0c4422136c08630bac10b3b55c9c93f4ad6493e53e7b136,f,bcbcbcbc,7a3b9d277c3e171fe53fc415aa3fe30bcf3db4015e3a7af76e3577ed202feee3,0,0,1,1,0,1,1,0,0,0,1,1,1,1
11,11,0,0,4f19f4c8,523e09c5c5363bc0dc29abc1db1834c96c051ad674f119e7e9de88fa9bcf7f0e,0,8b3761c0,943accdfad3f49d08c3e71c54c3754c0a32a72c1ce19aec8720654d576f227e6,0,f6e6e536,c0c1143b62c9cb3f5dd6433e6ae7a436dffaad29d50ea11857212d05963037f1,f,bcbcbcbc,47c14efa1cc48c0479c8ac0e43ce6c1853d58c217addcf2984e6013135f0f236,0,0,0,1,0,1,1,1,0,0,1,1,1,1
12,12,0,0,ddcf1e0e,53052dd65cf130e7d4dea1fa8acf980effc4222139c06d30b1c1fc3a41c9c63f,0,d8f2cbe5,902a77c1b719bbc8590667d55df23ee6b6df9af938d0970d67c53f2051c0bf2f,0,553099f1,f8fa9a29ee0e8a186d211405a7301ff11e3b9edecd3f61cf3e3ee7c4973634c0,f,bcbcbcbc,932dede1d2254cd91a1daad1a31337cbab091ec673ff81c240f577c053eb0dc0,0,0,0,1,0,1,1,1,0,0,1,1,1,1
13,13,0,0,0ec9bd3f,f5c4372137c07e30b7c1063b4fc9c83f40d64c3e47e7b836bafac929b00ec418,0,5cc07c2f,a1dfb3f928d0af0d5dc554204fc0d02f7cc19e3ac7c8b03f79d5863e55e63f37,0,cc363cc0,283b89decf3f51cf383eddc48a3632c08729c5c173186fc9fb0470d606f181e7,f,bcbcbcbc,66f210388dfc453cca06ef3edb10fc3f7d1a653f71232f3d7d2b68396c322834,0,0,0,1,0,1,1,1,0,0,1,1,1,1
14,14,0,0,4f0e2119,53d6463e5fe7ab36d3fab629c90ead184d213a058e3043f1103bbedeca3f7acf,0,f9e57237,82c1a83ad4c8b23f8cd5813e6ce63237ccf97d2ac80da0196a204006e12f45f2,0,68f125e7,7429cbc15c187cc9e20483d6eef099e773de12fb41cf060fd3c4822130c0b730,f,bcbcbcbc,34e92ec0f5dfc3c188d7f0c424d0a1c9f9c9b6cf31c507d7ebc165df3bc099e8,0,0,0,1,0,1,1,1,0,0,1,1,1,1
15,15,0,0,c13fbccf,622121059f302bf1193ba9decc3f6acf403eecc49e3635c0a329bdc196185cc9,0,9e2fa7f2,e5f96a2ae00d891980202706f12f2cf2b23a8bdfb53f17d07c3e53c526374dc0,0,38c07630,5ede2bfb31cf1e0fcac498212ec0c730d1c1313b8ac9d13f96d6323eb0e77d36,f,bcbcbcbc,c733d2321d39f72bfe3cfb234e3f141bff3f7b110c3f6f077c3c33fd603809f3,0,0,0,1,0,1,1,1,0,0,1,1,1,1
16,16,0,0,f31828c9,3b3ee2c4913633c09029c2c17f1869c9080566d612f176e793deecfa59cfe10e,0,583757c0,bc3a75dfb73f06d0763e49c519374ac0572a87c17219e1c80e069fd514f283e6,0,53e7b136,d7c13b3b97c9d33fa9d62c3ec7e7703644fb6029370f4518ad21c904d830d5f0,f,bcbcbcbc,14c0b5ea63c09cf453c2cdfed8c50609d9ca041337d1851cc8d84b255ae11d2d,0,0,0,1,0,1,1,1,0,0,1,1,1,1
17,17,0,0,9bcf7f0e,ee0479d6faf08de77ede05fb49cffa0ed8c4772131c0af30c8c1233b76c9ce3f,0,76f227e6,452a8dc15b19eec8f505b2d5fbf19ae660dffef9f6cff90d3fc5952048c00230,0,963037f1,5dfb4d294f0f2d18c221b004e830bdf0443b48ded43f20cf263ec0c463362cc0,f,bcbcbcbc,4637d7f06c311de74d2a07de1922cfd50519acce4e0fcdc8320557c4f4fa69c1,0,0,0,1,0,1,1,1,0,0,1,1,1,1
18,18,0,0,41c9c63f,cfc48d212fc0bf30cec12d3b83c9d03f8cd6353ea4e784361efb7d29120f6718,0,51c0bf2f,4adf17fae5cf110e35c5ab2045c0133092c1c63afac8b93fc5d5713eb1e60c37,0,973634c0,4e3b33ded63f10cf203eb7c455362bc03a29ddc11618a4c99704bcd6a5f0dee7,f,bcbcbcbc,59e3af2ed8ec1235d5f6193a0d01a33d3f0b983f2715ed3f851e9f3e1a27b63b,0,0,0,1,0,1,1,1,0,0,1,1,1,1
19,19,0,0,b00ec418,a0d62f3ebbe7763637fb6a292b0f5018a221d504cf30e2f0363b68ded23f39cf,0,55e63f37,98c1d03a07c9bc3fd8d56b3ec8e6ff3630fa322a2a0e4319c120dc052330e2f1,0,06f181e7,2729e3c1ff17b1c97e04d0d68cf0f6e71ede76fb00cf680fadc4d82129c0f830,f,bcbcbcbc,b6f8fac0a9ee02c00ee5adc024dcf7c225d4d2c645cd23ccb2c7c8d290c396da,0,0,0,1,0,1,1,1,0,0,1,1,1,1
