Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac4_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac4_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac4_int/tx_tdata[255:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac2_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac2_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac2_int/tx_tdata[255:0],int_dac_top/top_dac3_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac3_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac3_int/tx_tdata[255:0],int_dac_top/top_dac4_int/syncb_buf,int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac2_int/syncb_buf,int_dac_top/top_dac3_int/syncb_buf,int_dac_top/top_dac3_int/syncb_logic,int_dac_top/top_dac4_int/syncb_logic,int_dac_top/top_dac1_int/syncb_logic,int_dac_top/top_dac2_int/syncb_logic,sysref_logic,sysref_o,u_ila_2_tx_aresetn,u_ila_2_tx_aresetn_1,u_ila_2_tx_aresetn_2,u_ila_2_tx_aresetn_3
10,10,0,0,7e2403d8,efc073f87ac3af0292c7da0c1ccdb016f4d3f11fecdb6128d1e4c92f68eef735,0,a22d0638,f6ffa5c2c0f587c0ceeb08c060e22dc1b5d9eec304d239c881cbf1cd56c6f2d4,0,2c18b13f,4519d9ce910ff0c8770570c439fb77c11af118c05de75cc042de41c204d6bbc5,f,bcbcbcbc,c6d470c6cccda3cb1cc82ed2dac3e4d922c195e207c007ec8ec0fbf5b6c23100,0,0,0,1,0,1,1,1,0,0,1,1,1,1
11,11,0,0,2efecd3c,dd2e96e34f27cddac01ef8d267154bcc820bf0c651010cc318f7b7c019ed01c0,0,42c100e2,0423553d1d2ba1391b327334d137ee2d193c3b26d73e8e1df83f1f14773f2c0a,0,5ecb18ce,fb0a913fe614f13f481ead3ee326cf3b7f2e6937eb349731fb39812a903d5322,f,bcbcbcbc,ff3de920bd3fbc17d83ff30d523ece03333b91f98f367def8630d6e53f29dbdc,0,0,0,1,0,1,1,1,0,0,1,1,1,1
12,12,0,0,8ede2ac2,95f02437b0fa9e3bee04913e0c0fea3fc718a03fe021b53d1a2a353a41313735,0,723b38fa,65c5a3d60bc2f5de47c020e825c0e7f1a5c10bfcbfc448065cc95d1060cf061a,0,fa3fe413,57d4b3c66fcdfacbd3c797d2a7c35eda06c11be303c096eca3c090f6e2c2c800,f,bcbcbcbc,66c3720275c79d0cf7cc7616c7d3bc1fbadb32289ae4a02f2deed63536f8ab3a,0,0,0,1,0,1,1,1,0,0,1,1,1,1
13,13,0,0,d539c32a,f5ea11c096e15bc1fed83fc466d1abc8ffca82cef4c59dd566c2cedd6bc0dfe6,0,30dbae27,223ff107a63cb5fd9d3889f32133aee9552c66e06724edd78a1b7ad0f81140ca,0,7cc99810,243e6720ca3f2f17cd3f5f0d2f3e3803f93afbf84036ecee23304de5cb285ddc,f,bcbcbcbc,8027ffdaf61e24d3a1156fccbe0b0cc78e011ec354f7c0c053ed00c0cde3e4c0,0,0,0,1,0,1,1,1,0,0,1,1,1,1
14,14,0,0,97c038f6,a932ef3340384d2d663c8225003fc21cfe3f4413573f4909123d10ff3c39def4,0,360253c3,dfd0101c62d8e124e8e0c02c3aea7a331cf4e2384bfed53c85083a3f87120040,0,521b51d0,97c30803bcc7310d52cd031735d43f2036dca72822e50430bfee2736ccf8e63a,f,bcbcbcbc,73fa883bb104843ed10ee73f8f18a63fac21c53dec294e3a193159350537062f,0,0,0,1,0,1,1,1,0,0,1,1,1,1
15,15,0,0,5e309fe5,33c0f5e836c0c7f2dbc1f0fc17c52c07d5c93a11f7cfd71a53d7c323badfc62b,0,1c21f03d,cc0f0fc9b40587c476fb84c156f11cc096e756c076de31c232d6a2c500cf91ca,0,c208433f,082784da711eb9d2121516cc2a0bc8c6f700f1c2bff6aac0c3ec02c045e3fec0,f,bcbcbcbc,cce14ec12ed929c490d18cc822cb5bce0ec66fd576c29add72c0a7e60fc05af0,0,0,0,1,0,1,1,1,0,0,1,1,1,1
16,16,0,0,68eef735,3138a8f29632d8e8af2b9fdfa9233bd7ba1ae2cf1c11c4c90d070ac5d0fcd3c1,0,56c6f2d4,ac14f33f121eba3eb226e53b552e8737c834be31e139ae2a7f3d8722893f7d19,0,04d6bbc5,0afbbe3b4805a43e630fee3f1a19963f2b229d3d5d2a0f3a7a3105355137a02e,f,bcbcbcbc,2338782d523cb425f63ef81cfd3f7f13603f8509243d4eff57391bf512342feb,0,0,0,1,0,1,1,1,0,0,1,1,1,1
17,17,0,0,19ed01c0,b1e1632d13eb0134fdf44a3930ff1b3d68095c3f6213fd3fde1cfb3e9c255c3c,0,773f2c0a,95cdd7cbf0c76cd2bbc32dda12c1e5e204c05cec9ac054f6d0c28b0097c6bf0a,0,903d5322,47e16dc1b7d85fc428d1d8c8cdcabacecfc5e0d54ec21ade61c032e716c0ecf0,f,bcbcbcbc,31c08bf2ccc1b3fcffc4ef06b5c9ff10cecf9f1a24d7902386df992bbce88332,0,0,0,1,0,1,1,1,0,0,1,1,1,1
18,18,0,0,41313735,91fa54c177f010c0c2e66fc0b3dd6ec285d501c66ece11cb9bc87bd134c417d9,0,60cf061a,c43f6817d23f9b0d3d3e7503103b38f9603627ef4b3085e5fa2890dc9c2084d4,0,e2c2c800,6a380d2d843c3925103f711cff3fef124a3ff008f73cb7fe143986f4ba33a0ea,f,bcbcbcbc,bb3211e9db2bd4dfdc236ad7f21a0bd05711e5c94a0722c50dfde2c1e4f238c0,0,0,0,1,0,1,1,1,0,0,1,1,1,1
19,19,0,0,6bc0dfe6,6827933bf22e143749352c31423a022abd3dc521a33faa18e83fee0e8a3ecf04,0,f81140ca,9fc7f50c2dcdca1608d40a2003dc7728ebe4db2f84ee06368ff8ce3acb02153e,0,cb285ddc,3dc01ff3f0c149fd3ac5850705ca901132d0281b99d70d2408e0072c49e9df32,f,bcbcbcbc,d9eadd33c1f42e39f3fe093d2b09533f2813fe3fa71c063f6a25703c382d4e38,0,0,0,1,0,1,1,1,0,0,1,1,1,1
20,20,0,0,3c39def4,70c3e6dae9c0b2e301c037edbbc037f715c37001fec6a10b5dcc85150ed3db1e,0,87120040,a71ee4d24c153acc660be3c6350103c3fcf6b3c0feec01c07ce3f3c0b6da83c3,0,ccf8e63a,5e3285e86d2b52df5f23f6d6691aa7cfc51095c9b406e8c477fcbec151f22cc0,f,bcbcbcbc,b2f013c0fbe668c0e7dd5dc2b3d5e7c594ceeecabac851d14ac4e6d861c17be1,0,0,0,1,0,1,1,1,0,0,1,1,1,1
21,21,0,0,badfc62b,063e9002b63a54f8e6354aeeb42fb5e44928d2dbd61fddd3921609cdbb0c83c7,0,00cf91ca,0b05973e280feb3fe1189d3ff821ad3d2f2a293a533128353237ca2ea83b3927,0,45e3fec0,67eb353455f5723989ff363dc009683fb813fb3f2d1deb3ee4253e3ca22d0638,f,bcbcbcbc,c92e333727355431283a312aad3df9219d3fe318ec3f290f973e0c05a93bcefa,0,0,0,1,0,1,1,1,0,0,1,1,1,1
22,22,0,0,d0fcd3c1,b0d4cf20c2dc2829bbe5733061ef7f3673f9273bb0034b3ed50dd63fa017bf3f,0,893f7d19,e7d849c452d1b9c8efca93cee8c5b2d55ec2e6dd68c0f9e613c0b1f060c1cdfa,0,5137a02e,20f00cc070e679c068dd87c242d527c635ce43cb6ec8b9d114c45ed942c100e2,f,bcbcbcbc,f4c07be301c0fcecb2c0faf602c33301e3c6640b39cc4b15e3d2a61eb5da3827,0,0,0,1,0,1,1,1,0,0,1,1,1,1
23,23,0,0,9c255c3c,840a7dc64f00bfc219f692c023ec06c0b0e21cc1fcd9d0c342d20dc8b4cbbacd,0,97c6bf0a,703c6b25053fa81cfe3f2913533f2d09093df4fe2f39c2f4de33daea392d7de1,0,16c0ecf0,2f2fe6367a35f330673abf29d43d7921ac3f5718e33f960e773e7604723b38fa,f,bcbcbcbc,cf3a91f8073685eedc2fece4782805dc0b2009d4cc162ecdf70ca0c7cd0284c3,0,0,0,1,0,1,1,1,0,0,1,1,1,1
24,24,0,0,34c417d9,b419823fb9226e3ddb2ac839e331a634a5372c2efa3b8326c53edd1df53f7314,0,9c2084d4,e1c10cfd22c54807e4c9551109d0f01a69d7db23d3dfda2b10e9ba32e3f24d38,0,ba33a0ea,dbc002e400c08cedc9c08ff731c3ca0127c7f90b92ccd9154ed32a1f30dbae27,f,bcbcbcbc,8fdcf92883e54a3025ef5f3636f9103b73033d3e9a0dd23f6717c53f9b20153e,0,0,0,1,0,1,1,1,0,0,1,1,1,1
25,25,0,0,8a3ecf04,70ca26cf89c55fd622c2a9de50c0cde71fc090f191c1b1fb9dc4ef052ec90610,0,cb02153e,9a2b87df922325d7a01acfcf0011b5c9f10600c5b4fcccc18df231c0bee838c0,0,49e9df32,933afbf7b535f4ed782f64e4032888db881f9cd33f16d3cc630c59c7360253c3,f,bcbcbcbc,8d00d1c255f69bc05dec04c0e6e211c12edabbc36dd2f0c7d8cb94cd98c683d4,0,0,0,1,0,1,1,1,0,0,1,1,1,1
26,26,0,0,0ed3db1e,00404e12313f4a08c33c0ffec738e1f3563302ea952cb4e0b02433d8da1bb7d0,0,b6da83c3,19f556394cff243d8409603f7d13fd3ff71cf63eb225523c772d233811348432,0,51f22cc0,0ddd6c290de6ad30b7efae36ccf9493b0a045f3e2d0edd3ff317b73f1c21f03d,f,bcbcbcbc,86227f3dad2ae239bd31c9348737562ee43bb426b93e131ef33fad14893fc00a,0,0,0,1,0,1,1,1,0,0,1,1,1,1
